#SRC:M87,DATE(MJD):58230,FREQ:213.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.18194444,AA,AX,737327.5000,-1583946.3750,1.12187007,1.9880,0.01262929
00.18472223,AA,AX,737157.0000,-1583861.0000,1.12140322,0.5343,0.00606236
00.18750000,AA,AX,736927.0000,-1583746.1250,1.12143761,0.3087,0.00625511
00.19027779,AA,AX,736689.6250,-1583627.6250,1.12137924,0.0245,0.00617442
00.19305555,AA,AX,736455.3750,-1583511.1250,1.12112534,0.2720,0.00635088
00.19583333,AA,AX,736220.7500,-1583394.5000,1.12031230,0.5324,0.00690832
00.19861112,AA,AX,735985.6250,-1583278.0000,1.12070505,-1.2550,0.00672795
00.20138888,AA,AX,735750.1875,-1583161.5000,1.12129132,-0.2775,0.00642307
00.20416667,AA,AX,735514.2500,-1583045.0000,1.12129892,0.4406,0.00662567
00.20972221,AA,AX,735050.8125,-1582816.8750,1.11998955,-0.2687,0.00893998
00.21250000,AA,AX,734714.0000,-1582651.7500,1.12078761,-0.3126,0.01670575
00.21527778,AA,AX,734566.7500,-1582579.6250,1.11931794,-0.6923,0.00973741
00.21805555,AA,AX,734328.8125,-1582463.3750,1.11961477,0.0811,0.00990286
00.22361112,AA,AX,733788.7500,-1582200.5000,1.12119286,0.8124,0.01281320
00.22638888,AA,AX,733612.7500,-1582115.0000,1.12008327,-0.4466,0.00891216
00.22916666,AA,AX,733364.2500,-1581994.6250,1.12131210,-0.8641,0.01076746
00.23472221,AA,AX,732888.1875,-1581764.6250,1.11916640,0.4183,0.00904659
00.23750000,AA,AX,732652.3125,-1581651.0000,1.11803928,-0.2265,0.00967334
00.24027778,AA,AX,732443.3750,-1581550.6250,1.11843133,-0.1058,0.01025337
00.24305554,AA,AX,732087.5000,-1581379.8750,1.12013940,-0.3326,0.01260884
00.24583333,AA,AX,731927.8125,-1581303.5000,1.11928069,0.9560,0.00760792
00.24861111,AA,AX,731688.1250,-1581189.0000,1.12014883,0.3770,0.00737573
00.25138888,AA,AX,731559.3750,-1581127.5000,1.12120915,0.5752,0.03146937
00.47083332,AA,AX,710942.1875,-1572039.5000,1.12116621,-0.0361,0.00864506
00.47361110,AA,AX,710768.8750,-1571968.6250,1.12124026,0.6450,0.00739786
