#SRC:M87,DATE(MJD):58232,FREQ:229.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.26805592,AA,AX,842354.3750,-1736733.8750,1.12854581,-1.7200,0.01079816
23.26805592,AA,PV,-4341212160.0000,-4458450432.0000,0.09301907,1.5387,0.00406128
23.27083397,AA,AX,842232.1875,-1736607.6250,1.12845337,-0.6204,0.00923666
23.27083397,AA,PV,-4342041088.0000,-4459104256.0000,0.08861313,-3.1779,0.00343427
23.27083397,AX,PV,-4342870016.0000,-4457356800.0000,0.09970372,18.0908,0.03512613
23.27361059,AA,AX,842113.6875,-1736485.6250,1.12821195,-1.8766,0.01062605
23.27361059,AA,PV,-4342778368.0000,-4459686912.0000,0.09503282,-0.2236,0.00543003
23.27361059,AX,PV,-4343718400.0000,-4458028032.0000,0.08919760,-12.3371,0.03557346
23.27638865,AA,AX,841993.2500,-1736362.0000,1.12776495,1.0108,0.01330963
23.27638865,AA,PV,-4343725056.0000,-4460438016.0000,0.09736102,2.6434,0.00494089
23.27638865,AX,PV,-4344524800.0000,-4458668032.0000,0.10698005,7.7763,0.03216337
23.27916670,AX,PV,-4345428480.0000,-4459387392.0000,0.08341793,10.2970,0.03570628
23.28194475,AA,AX,841702.5625,-1736065.6250,1.12698951,-1.9435,0.01009681
23.28194475,AA,PV,-4345436160.0000,-4461801472.0000,0.08965925,0.1219,0.00380704
23.28194475,AX,PV,-4346277888.0000,-4460065280.0000,0.09737156,-19.9653,0.03226844
23.28472281,AA,AX,841568.2500,-1735929.6250,1.12766814,-0.0025,0.00916149
23.28472281,AA,PV,-4346255872.0000,-4462457344.0000,0.09267165,0.6250,0.00366580
23.28472281,AX,PV,-4347092992.0000,-4460717568.0000,0.09776743,-34.4838,0.03179311
23.28749943,AA,AX,841433.5000,-1735793.6250,1.12764681,0.1990,0.00902040
23.28749943,AA,PV,-4347106304.0000,-4463139840.0000,0.10217814,-0.4809,0.00379489
23.28749943,AX,PV,-4347961856.0000,-4461415424.0000,0.10770980,4.8888,0.02831217
23.29027748,AA,AX,841298.2500,-1735657.6250,1.12840890,-1.1465,0.00842722
23.29305553,AA,AX,841162.5000,-1735521.6250,1.12724225,2.2796,0.00906697
23.29305553,AA,PV,-4348789760.0000,-4464497152.0000,0.09067889,-0.5926,0.00309941
23.29305553,AX,PV,-4349632000.0000,-4462763008.0000,0.09308201,8.8154,0.03343120
23.29583359,AA,AX,841026.3125,-1735385.7500,1.12838570,-2.0223,0.00882399
23.29583359,AA,PV,-4349624320.0000,-4465173504.0000,0.10563656,1.7146,0.00375698
23.29583359,AX,PV,-4350486016.0000,-4463454208.0000,0.08192709,-2.4099,0.02922092
23.29861164,AA,PV,-4350447104.0000,-4465841664.0000,0.10384406,-1.4733,0.00445280
23.29861164,AX,PV,-4351313920.0000,-4464126976.0000,0.11061617,-1.3638,0.02981896
23.30138826,AA,AX,840752.3750,-1735114.1250,1.12728635,0.7356,0.00927424
23.30138826,AA,PV,-4351282688.0000,-4466522112.0000,0.10217257,1.3073,0.00372915
23.30138826,AX,PV,-4352128000.0000,-4464791040.0000,0.09745534,-25.7167,0.03098336
23.30416632,AA,AX,840614.6875,-1734978.3750,1.12657201,-0.5104,0.00979509
23.30416632,AA,PV,-4352065536.0000,-4467162112.0000,0.10103919,1.9810,0.00414191
23.30416632,AX,PV,-4352928256.0000,-4465444864.0000,0.10153669,-56.4327,0.03399371
23.30694437,AA,PV,-4352932864.0000,-4467872768.0000,0.10507221,-0.2639,0.00377147
23.30694437,AX,PV,-4353786880.0000,-4466148864.0000,0.11171390,-5.6261,0.03375561
23.30972242,AA,AX,840342.3750,-1734711.3750,1.12839261,0.7684,0.00960842
23.30972242,AA,PV,-4353748992.0000,-4468543488.0000,0.09408187,2.6514,0.00354903
23.30972242,AX,PV,-4354592256.0000,-4466811392.0000,0.07118231,-2.7303,0.03310745
23.31250048,AA,AX,840204.0000,-1734576.3750,1.12879098,-0.1559,0.00881710
23.31250048,AA,PV,-4354571264.0000,-4469221376.0000,0.08890597,-0.8806,0.00334088
23.31527710,AA,AX,840056.2500,-1734432.8750,1.12860658,0.4190,0.00835840
23.31527710,AA,PV,-4355343872.0000,-4469860352.0000,0.08773674,0.5937,0.00365275
23.31527710,AX,PV,-4356263936.0000,-4468192256.0000,0.07344338,0.6747,0.03542217
23.31805515,AA,AX,839918.9375,-1734300.0000,1.12844605,1.6758,0.00835547
23.32083321,AA,AX,839781.1875,-1734167.2500,1.12837156,-0.0217,0.00851078
23.32083321,AA,PV,-4357075968.0000,-4471299072.0000,0.09962861,4.0433,0.00411280
23.32083321,AX,PV,-4357874688.0000,-4469531136.0000,0.09465580,-10.6728,0.03180722
