#SRC:M87,DATE(MJD):58232,FREQ:227.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.26805592,AA,AX,835011.7500,-1721583.8750,1.13193950,0.8842,0.01370558
23.27083397,AA,AX,834880.6875,-1721448.3750,1.13165258,-0.1983,0.01203057
23.27083397,AA,PV,-4304132608.0000,-4420174336.0000,0.09645992,-3.6866,0.00383243
23.27083397,AX,PV,-4304969216.0000,-4418454528.0000,0.10211703,18.6200,0.03888762
23.27361059,AA,AX,834758.8125,-1721323.0000,1.13160235,0.0561,0.01356370
23.27361059,AA,PV,-4304828928.0000,-4420724736.0000,0.09077797,-0.4538,0.00501731
23.27361059,AX,PV,-4305813504.0000,-4419122176.0000,0.09396352,16.6933,0.04422587
23.27638865,AA,PV,-4305467392.0000,-4421231104.0000,0.11226434,-15.8873,0.01331826
23.27916670,AA,AX,834451.6875,-1721008.7500,1.13113076,2.0643,0.02553087
23.27916670,AA,PV,-4306996224.0000,-4422447104.0000,0.12004659,15.9853,0.01793327
23.28194475,AA,PV,-4307559424.0000,-4422897152.0000,0.09399116,6.4161,0.00390675
23.28472281,AA,AX,834221.5000,-1720775.2500,1.13107108,-0.7701,0.01154187
23.28472281,AA,PV,-4308363776.0000,-4423541248.0000,0.10744057,2.3278,0.00374985
23.28472281,AX,PV,-4309193728.0000,-4421816832.0000,0.10535001,-28.0213,0.04237263
23.28749943,AA,AX,834087.9375,-1720640.3750,1.13162718,0.0576,0.01112659
23.28749943,AA,PV,-4309163008.0000,-4424182784.0000,0.12088443,2.0321,0.00441399
23.28749943,AX,PV,-4310019584.0000,-4422479872.0000,0.11547813,8.2682,0.03381752
23.29027748,AA,AX,833953.8750,-1720505.6250,1.13201567,-2.1840,0.01033530
23.29027748,AA,PV,-4310001664.0000,-4424857600.0000,0.09562030,6.3703,0.00314728
23.29027748,AX,PV,-4310819840.0000,-4423124480.0000,0.10718975,20.1376,0.04209430
23.29305553,AA,AX,833819.3125,-1720370.8750,1.13154444,-2.1855,0.01157663
23.29305553,AA,PV,-4310808576.0000,-4425509376.0000,0.10240885,5.9421,0.00418012
23.29305553,AX,PV,-4311646208.0000,-4423791616.0000,0.11253822,13.9121,0.04112519
23.29583359,AA,AX,833681.5625,-1720233.5000,1.13128305,-1.5953,0.01127337
23.29583359,AA,PV,-4311681536.0000,-4426215936.0000,0.10525179,1.8577,0.00370676
23.29583359,AX,PV,-4312488448.0000,-4424474112.0000,0.08964381,8.0760,0.03907741
23.29861164,AA,PV,-4312466432.0000,-4426853888.0000,0.12709601,-0.4574,0.00447143
23.30138826,AA,AX,833412.7500,-1719966.8750,1.13151966,-0.9851,0.01131638
23.30138826,AA,PV,-4313296896.0000,-4427530240.0000,0.12801844,0.2886,0.00413388
23.30138826,AX,PV,-4314119168.0000,-4425801216.0000,0.13517576,-5.9310,0.03368308
23.30416632,AA,PV,-4314111488.0000,-4428195840.0000,0.09476521,0.6995,0.00342312
23.30416632,AX,PV,-4314940928.0000,-4426472960.0000,0.11056309,-24.5351,0.04789142
23.30694437,AA,AX,833135.5625,-1719694.0000,1.13058949,0.5544,0.01344836
23.30694437,AA,PV,-4314974208.0000,-4428903424.0000,0.11679766,-5.2751,0.00416591
23.30694437,AX,PV,-4315783168.0000,-4427163136.0000,0.10575381,-36.0808,0.03797284
23.30972242,AA,AX,833009.6875,-1719570.8750,1.13218957,1.8297,0.01305722
23.30972242,AA,PV,-4315747328.0000,-4429538816.0000,0.11746427,-1.0219,0.00399607
