#SRC:M87,DATE(MJD):58232,FREQ:227.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
22.78472185,AX,PV,-4127499520.0000,-4303275008.0000,0.08070565,94.6983,0.03532116
22.79027796,AX,PV,-4129945600.0000,-4304566784.0000,0.09220266,61.6497,0.03535335
22.79305601,AX,PV,-4131165440.0000,-4305213440.0000,0.09154078,83.4661,0.03525908
22.79583263,AX,PV,-4132387072.0000,-4305862144.0000,0.05979370,65.5515,0.03569775
22.79861069,AX,PV,-4133620736.0000,-4306518528.0000,0.10114747,125.1460,0.03564163
22.80138874,AX,PV,-4134811648.0000,-4307153408.0000,0.06784051,120.3126,0.03487044
22.80694485,AX,PV,-4137231360.0000,-4308447744.0000,0.12159870,18.8914,0.03476349
22.81249952,AX,PV,-4139636224.0000,-4309739520.0000,0.03481120,30.1389,0.03537431
22.81527758,AX,PV,-4140844544.0000,-4310390784.0000,0.05527259,164.6052,0.03460653
22.81805563,AX,PV,-4142044416.0000,-4311038976.0000,0.10117040,73.5855,0.03455288
22.82083368,AX,PV,-4143242240.0000,-4311687168.0000,0.09383078,78.6409,0.03450080
22.82638836,AX,PV,-4145631232.0000,-4312984064.0000,0.08048042,111.4151,0.03439519
22.82916641,AX,PV,-4146822400.0000,-4313632768.0000,0.08560558,41.9142,0.03434252
22.83194447,AX,PV,-4148011264.0000,-4314281984.0000,0.10223671,65.4792,0.03429549
22.83472252,AX,PV,-4149198080.0000,-4314931200.0000,0.05972352,99.8015,0.03423817
22.84027719,AX,PV,-4151564800.0000,-4316229632.0000,0.06084226,162.7117,0.03413285
22.84305525,AX,PV,-4152744960.0000,-4316879360.0000,0.05733099,76.8865,0.03478307
22.84583330,AX,PV,-4153922816.0000,-4317529600.0000,0.06409980,105.2190,0.03402794
22.84861135,AX,PV,-4155098624.0000,-4318179328.0000,0.06767669,42.5784,0.03397543
22.85972214,AX,PV,-4159763712.0000,-4320773120.0000,0.03530151,3.2772,0.03448486
22.86250019,AX,PV,-4160943872.0000,-4321432576.0000,0.06958084,-4.8304,0.03378788
23.26805592,AA,PV,-4306103808.0000,-4419968512.0000,0.11714515,-0.0821,0.00382182
23.26805592,AA,AX,837947.3750,-1717040.8750,1.13210996,0.3445,0.01131202
23.26805592,AX,PV,-4306941952.0000,-4418251264.0000,0.12708039,12.1323,0.03463502
23.27083397,AA,AX,837804.3750,-1716909.7500,1.13167297,0.8324,0.01158634
23.27083397,AA,PV,-4306937344.0000,-4420642304.0000,0.09075552,-1.4193,0.00300606
23.27083397,AX,PV,-4307775488.0000,-4418925056.0000,0.08366545,39.2823,0.04503383
23.27361059,AA,PV,-4307764224.0000,-4421312512.0000,0.08881253,1.5203,0.00259915
23.27361059,AA,AX,837660.9375,-1716778.6250,1.13191507,0.3951,0.01145198
23.27361059,AX,PV,-4308606464.0000,-4419599360.0000,0.09435152,20.0394,0.05367185
23.27638865,AA,AX,837519.9375,-1716650.1250,1.13020868,0.2984,0.01377458
23.27916670,AA,AX,837342.5000,-1716489.1250,1.13078604,0.1460,0.01982417
23.27916670,AA,PV,-4309424128.0000,-4422664704.0000,0.10722296,1.5049,0.00579136
23.27916670,AX,PV,-4310261760.0000,-4420947968.0000,0.12219660,32.4408,0.02882533
23.28194475,AA,PV,-4310248960.0000,-4423339008.0000,0.09301006,-1.1062,0.00353671
23.28194475,AA,AX,837228.0000,-1716385.5000,1.13028672,0.5874,0.01256024
23.28194475,AX,PV,-4311100928.0000,-4421635072.0000,0.10725505,-34.0711,0.04206451
23.28472281,AA,AX,837082.8125,-1716254.5000,1.13122416,0.3201,0.01161146
23.28472281,AA,PV,-4311070720.0000,-4424013312.0000,0.11037399,-1.0126,0.00384311
23.28472281,AX,PV,-4311913472.0000,-4422301696.0000,0.11274451,-26.5988,0.03568259
23.28749943,AA,AX,836937.1250,-1716123.5000,1.13137897,0.5132,0.01112213
23.28749943,AA,PV,-4311890432.0000,-4424688128.0000,0.12150585,0.0244,0.00422147
23.28749943,AX,PV,-4312727552.0000,-4422971904.0000,0.12837037,16.3788,0.03039783
23.29027748,AA,AX,836791.0000,-1715992.6250,1.13194164,0.2729,0.01036928
23.29027748,AA,PV,-4312708096.0000,-4425362944.0000,0.09837544,0.2792,0.00318939
23.29027748,AX,PV,-4313544704.0000,-4423646720.0000,0.10813729,-2.2171,0.03740100
23.29305553,AA,AX,836644.5000,-1715861.6250,1.13140829,-0.0206,0.01170524
23.29305553,AA,PV,-4313523200.0000,-4426037760.0000,0.11237166,0.1735,0.00387298
