#SRC:M87,DATE(MJD):58230,FREQ:227.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.18472223,AA,AX,786233.5625,-1684001.5000,1.09992509,0.2700,0.00574379
00.18750000,AA,AX,785978.3125,-1683878.5000,1.09984818,0.3640,0.00583660
00.19027779,AA,AX,785722.6250,-1683755.5000,1.09979185,0.1639,0.00595916
00.19305555,AA,AX,785466.5625,-1683632.5000,1.09964625,0.2436,0.00604897
00.19583333,AA,AX,785210.0625,-1683509.6250,1.09889349,0.2368,0.00653421
00.19861112,AA,AX,784953.1250,-1683386.8750,1.09959053,0.1642,0.00636844
00.20138888,AA,AX,784695.8125,-1683264.0000,1.09983971,0.1365,0.00619204
00.20416667,AA,AX,784438.0625,-1683141.2500,1.09973932,0.1001,0.00632556
00.20694445,AA,AX,784179.8750,-1683018.5000,1.09739571,-0.1146,0.00825102
00.20972221,AA,AX,783921.3125,-1682895.8750,1.09896637,-0.0092,0.00877583
00.21250000,AA,AX,783662.3125,-1682773.2500,1.09420378,-0.1883,0.01200753
00.21527778,AA,AX,783402.9375,-1682650.6250,1.09705607,0.0556,0.00978470
00.21805555,AA,AX,783143.0625,-1682528.0000,1.09722425,0.0660,0.01023269
00.22361112,AA,AX,782620.4375,-1682282.2500,1.09684578,0.3577,0.01038079
00.22638888,AA,AX,782361.0625,-1682160.6250,1.09797157,-0.2345,0.00862497
00.22916666,AA,AX,782099.5625,-1682038.1250,1.09899352,-0.1642,0.00745484
00.23194445,AA,AX,781837.6250,-1681915.7500,1.09360922,-0.0966,0.01278628
00.23472221,AA,AX,781575.3125,-1681793.5000,1.09626926,-0.3241,0.00883717
00.23750000,AA,AX,781312.5625,-1681671.2500,1.09497511,-0.2187,0.00943871
00.24027778,AA,AX,781049.4375,-1681549.0000,1.09411587,-0.3063,0.01024020
00.24305554,AA,AX,780785.8125,-1681426.7500,1.09296613,-0.4158,0.01160685
00.24583333,AA,AX,780521.8750,-1681304.6250,1.09717714,-0.3979,0.00745837
00.24861111,AA,AX,780257.4375,-1681182.5000,1.09878453,-0.4326,0.00643701
00.47083332,AA,AX,757695.6250,-1671522.2500,1.09952400,0.0523,0.00777659
00.47361110,AA,AX,757475.4375,-1671434.6250,1.09940821,0.0564,0.00543048
00.47638889,AA,AX,757177.5000,-1671316.1250,1.09953274,0.0473,0.00533874
00.47916667,AA,AX,756873.6875,-1671195.5000,1.09953586,0.0614,0.00541790
00.48194446,AA,AX,756580.3750,-1671079.2500,1.09937380,0.1189,0.00537835
00.48472224,AA,AX,756281.2500,-1670960.8750,1.09942771,0.0846,0.00531385
00.48749998,AA,AX,755984.1875,-1670843.5000,1.09932099,0.1028,0.00546253
00.49027777,AA,AX,755681.7500,-1670724.2500,1.10012599,0.1122,0.00498724
00.49305555,AA,AX,755381.3750,-1670606.0000,1.09993108,0.0949,0.00510068
00.49583334,AA,AX,755080.6250,-1670487.8750,1.09991698,0.1144,0.00507403
00.49861112,AA,AX,754779.4375,-1670369.7500,1.10005963,0.1387,0.00506509
00.50138891,AA,AX,754477.8750,-1670251.6250,1.10021838,0.1701,0.00500527
00.50416665,AA,AX,754175.9375,-1670133.6250,1.09993914,0.1315,0.00516963
00.50694443,AA,AX,753873.5625,-1670015.6250,1.09963448,0.1151,0.00535897
00.51250000,AA,AX,753267.6250,-1669779.7500,1.09968718,0.1680,0.00529131
00.51527779,AA,AX,752964.0625,-1669662.0000,1.10002611,0.1705,0.00509885
00.51805557,AA,AX,752661.6250,-1669544.7500,1.10001407,0.1902,0.00517654
00.52638888,AA,AX,751745.8125,-1669191.0000,1.09985479,0.2305,0.00505135
00.52916667,AA,AX,751440.2500,-1669073.3750,1.09995510,0.2202,0.00500012
00.53194445,AA,AX,751134.3125,-1668955.8750,1.09993219,0.2216,0.00503113
00.53472224,AA,AX,750827.9375,-1668838.3750,1.10003993,0.2677,0.00498002
00.53749998,AA,AX,750531.3125,-1668724.7500,1.09979885,0.2633,0.00530232
00.54027776,AA,AX,750214.0000,-1668603.5000,1.09999963,0.3285,0.00507833
00.54305555,AA,AX,749906.4375,-1668486.1250,1.09990805,0.3358,0.00506634
00.54583333,AA,AX,749598.5000,-1668368.7500,1.10015913,0.3285,0.00506226
00.54861112,AA,AX,749290.1250,-1668251.5000,1.09977094,0.3409,0.00519021
00.55138890,AA,AX,748985.0000,-1668135.5000,1.09956711,0.3411,0.00545065
00.55416664,AA,AX,748672.2500,-1668017.0000,1.09963487,0.4018,0.00534508
00.55972221,AA,AX,748052.7500,-1667782.7500,1.09977437,0.4219,0.00532826
00.56250000,AA,AX,747742.3750,-1667665.7500,1.09942206,0.4191,0.00540800
00.56527779,AA,AX,747431.6250,-1667548.7500,1.09982556,0.4363,0.00515349
00.56805557,AA,AX,747120.5000,-1667431.8750,1.09975208,0.4278,0.00515416
00.57083336,AA,AX,746808.9375,-1667315.0000,1.09960436,0.4605,0.00517732
00.57361110,AA,AX,746498.5625,-1667198.7500,1.09945135,0.4492,0.00524437
00.57916667,AA,AX,745871.9375,-1666964.6250,1.09958177,0.4539,0.00503561
00.58194445,AA,AX,745560.3750,-1666848.5000,1.09931891,0.4633,0.00528440
00.63472223,AA,AX,739533.1250,-1664639.8750,1.09965384,0.6691,0.00522488
00.64027776,AA,AX,738888.5625,-1664407.7500,1.09960870,0.6080,0.00525186
00.64305554,AA,AX,738569.8750,-1664293.3750,1.09967941,0.5897,0.00512771
00.64583333,AA,AX,738241.8125,-1664175.6250,1.09964190,0.5407,0.00532274
00.64861111,AA,AX,737925.1250,-1664062.2500,1.09994010,0.5297,0.00503134
00.65138890,AA,AX,737602.1250,-1663946.8750,1.10019373,0.4815,0.00492064
00.65416668,AA,AX,737278.7500,-1663831.5000,1.10005196,0.4042,0.00510652
00.65694442,AA,AX,736954.9375,-1663716.1250,1.10001351,0.4202,0.00505911
00.65972221,AA,AX,736630.8125,-1663600.8750,1.09988790,0.3652,0.00523414
00.66249999,AA,AX,736306.2500,-1663485.6250,1.10028729,0.3119,0.00499735
00.66527778,AA,AX,735979.1250,-1663369.6250,1.10025228,0.2152,0.00515945
00.66805556,AA,AX,735655.9375,-1663255.2500,1.10049927,0.1828,0.00503820
00.67083335,AA,AX,735330.2500,-1663140.1250,1.10050579,0.1122,0.00502395
00.67361109,AA,AX,735004.1250,-1663025.1250,1.10012980,0.1021,0.00528223
00.67638887,AA,AX,734677.5625,-1662910.1250,1.10038930,0.0186,0.00520391
00.67916666,AA,AX,734350.6875,-1662795.2500,1.10028637,0.0275,0.00521501
00.68194444,AA,AX,734023.3750,-1662680.3750,1.10060751,-0.0462,0.00502836
00.68472223,AA,AX,733695.6875,-1662565.5000,1.10058568,-0.0587,0.00500763
00.68750001,AA,AX,733367.6250,-1662450.7500,1.10081988,-0.1206,0.00486832
00.69027780,AA,AX,733039.1875,-1662336.0000,1.10013703,-0.1651,0.00515968
00.69305554,AA,AX,732710.3125,-1662221.2500,1.09956854,-0.1697,0.00538664
00.70138890,AA,AX,731712.1875,-1661874.3750,1.09954733,-0.3083,0.00579630
00.70416668,AA,AX,731391.0000,-1661763.1250,1.09953488,-0.3550,0.00549681
00.70694447,AA,AX,731060.1875,-1661648.7500,1.09999189,-0.3999,0.00519759
00.70972221,AA,AX,730729.0000,-1661534.3750,1.09971442,-0.4278,0.00527958
00.71249999,AA,AX,730397.4375,-1661420.0000,1.09994110,-0.5066,0.00512673
00.71527778,AA,AX,730065.4375,-1661305.7500,1.09977542,-0.5110,0.00519191
00.71805556,AA,AX,729733.1250,-1661191.5000,1.10003088,-0.5334,0.00502118
00.72083335,AA,AX,729400.3750,-1661077.3750,1.09981648,-0.5717,0.00510580
00.72361113,AA,AX,729067.2500,-1660963.2500,1.10006252,-0.6090,0.00490305
00.72638887,AA,AX,728733.6875,-1660849.2500,1.09954704,-0.6398,0.00510888
00.72916666,AA,AX,728406.5000,-1660737.5000,1.09960112,-0.6816,0.00525057
00.73194444,AA,AX,728065.5000,-1660621.2500,1.09975071,-0.7458,0.00513752
00.88749996,AA,AX,708639.9375,-1654296.3750,1.09999780,0.0770,0.00680521
00.89027774,AA,AX,708372.8750,-1654213.2500,1.10002465,0.0782,0.00479038
00.89305553,AA,AX,708020.0000,-1654103.6250,1.10020145,0.0832,0.00463729
00.89583331,AA,AX,707663.1875,-1653992.7500,1.10009486,0.0628,0.00476244
00.89861110,AA,AX,707305.9375,-1653882.1250,1.09978897,0.0682,0.00497135
00.90138888,AA,AX,706948.3750,-1653771.5000,1.10013882,0.0669,0.00487449
00.90416667,AA,AX,706590.4375,-1653660.8750,1.09986537,0.0495,0.00504753
00.90694445,AA,AX,706232.1250,-1653550.3750,1.10030469,0.0578,0.00493415
00.90972224,AA,AX,705873.3750,-1653439.8750,1.09995866,0.0378,0.00514428
00.91250002,AA,AX,705514.3125,-1653329.3750,1.10046517,0.0798,0.00491150
00.91527781,AA,AX,705154.8750,-1653219.0000,1.10028755,0.0260,0.00500746
00.91805559,AA,AX,704795.0625,-1653108.7500,1.09962608,0.0094,0.00525915
00.92638886,AA,AX,703713.3125,-1652778.1250,1.09952766,0.0503,0.00541479
00.92916664,AA,AX,703352.0000,-1652668.0000,1.09969577,0.0227,0.00541350
00.94027779,AA,AX,701902.9375,-1652228.2500,1.09930304,-0.0138,0.00598499
00.94305557,AA,AX,701539.7500,-1652118.5000,1.09936805,-0.0339,0.00603410
00.94861114,AA,AX,700812.2500,-1651899.0000,1.09974265,-0.0018,0.00569039
00.95138893,AA,AX,700447.9375,-1651789.3750,1.09936652,-0.0241,0.00582388
00.95416671,AA,AX,700083.2500,-1651679.8750,1.09921916,-0.0433,0.00586621
00.95694441,AA,AX,699718.1875,-1651570.2500,1.09943093,-0.0085,0.00568353
00.95972219,AA,AX,699352.7500,-1651460.8750,1.09987570,-0.0094,0.00537841
00.96527776,AA,AX,698620.7500,-1651242.1250,1.09954917,-0.0002,0.00533693
00.97361112,AA,AX,697520.0000,-1650914.3750,1.10001176,-0.0179,0.00478726
00.97638890,AA,AX,697152.3750,-1650805.2500,1.09968575,-0.0511,0.00484823
00.97916669,AA,AX,696784.3125,-1650696.2500,1.09927106,0.0012,0.00506607
00.98194447,AA,AX,696415.9375,-1650587.2500,1.09902954,-0.0035,0.00512239
