#SRC:M87,DATE(MJD):58230,FREQ:215.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.67361109,AA,AX,696470.8750,-1578689.2500,1.12294392,-0.2748,0.00529591
00.67638887,AA,AX,696174.8750,-1578582.8750,1.12313933,1.6532,0.00538273
00.67916666,AA,AX,695863.0000,-1578470.8750,1.12292085,-0.9404,0.00527969
00.68194444,AA,AX,695559.5000,-1578362.1250,1.12317047,0.2314,0.00521562
00.68472223,AA,AX,695232.6250,-1578245.1250,1.12328233,0.0597,0.00556330
00.68750001,AA,AX,694960.6875,-1578148.0000,1.12329746,-0.6802,0.00544623
00.69027780,AA,AX,694641.8750,-1578034.3750,1.12272365,-0.8964,0.00518994
00.69305554,AA,AX,694335.4375,-1577925.2500,1.12238574,-0.9261,0.00520417
00.69583333,AA,AX,693943.6875,-1577786.0000,1.12220513,-0.9202,0.00998760
00.69861111,AA,AX,693749.3125,-1577717.1250,1.12234993,0.0202,0.00648903
00.70138890,AA,AX,693347.0000,-1577574.6250,1.12213825,0.7164,0.00707247
00.70416668,AA,AX,693126.0625,-1577496.5000,1.12241277,0.0227,0.00576813
00.70694447,AA,AX,692794.8125,-1577379.6250,1.12250746,0.7375,0.00510016
00.70972221,AA,AX,692488.6875,-1577271.6250,1.12222202,-0.2765,0.00533017
00.71249999,AA,AX,692173.3750,-1577160.7500,1.12251242,0.6072,0.00514088
00.71527778,AA,AX,691863.3750,-1577051.8750,1.12220524,0.8326,0.00517469
00.72083335,AA,AX,691248.6875,-1576836.5000,1.12227950,0.0238,0.00525751
00.72638887,AA,AX,690619.5000,-1576616.8750,1.12215383,0.5326,0.00532986
00.72916666,AA,AX,690316.3750,-1576511.2500,1.12223509,0.2275,0.00543003
00.73194444,AA,AX,689971.8750,-1576391.5000,1.12207404,0.4437,0.00578336
00.88749996,AA,AX,671830.1250,-1570375.2500,1.12295658,0.0331,0.00690909
00.89027774,AA,AX,671619.6250,-1570308.6250,1.12295628,-0.9892,0.00531503
00.89583331,AA,AX,670917.3125,-1570086.6250,1.12301717,0.0515,0.00515434
00.89861110,AA,AX,670600.6250,-1569986.8750,1.12272380,-0.4289,0.00500021
00.90138888,AA,AX,670253.7500,-1569877.6250,1.12274123,0.0839,0.00471214
00.90416667,AA,AX,669928.0625,-1569775.2500,1.12257542,0.2465,0.00504249
00.90694445,AA,AX,669578.8750,-1569665.7500,1.12258957,0.2076,0.00490269
00.90972224,AA,AX,669249.4375,-1569562.5000,1.12238368,1.0664,0.00512217
00.91250002,AA,AX,668911.5625,-1569456.8750,1.12289199,0.3316,0.00472988
00.91527781,AA,AX,668575.1250,-1569351.8750,1.12274043,0.0308,0.00482677
00.91805559,AA,AX,668264.5625,-1569255.0000,1.12253169,-0.4499,0.00567958
00.92638886,AA,AX,667214.5625,-1568928.7500,1.12243914,0.9583,0.00540058
00.92916664,AA,AX,666893.6875,-1568829.3750,1.12260052,0.1663,0.00525620
00.93194443,AA,AX,666600.6250,-1568738.6250,1.12304520,-0.3816,0.00747224
00.93750000,AA,AX,665827.3125,-1568500.1250,1.12315395,0.0127,0.00614514
00.94305557,AA,AX,665231.6875,-1568316.8750,1.12223356,0.3498,0.00650002
00.94583336,AA,AX,664764.1250,-1568173.5000,1.12262894,0.2758,0.01056423
00.94861114,AA,AX,664522.7500,-1568099.5000,1.12217556,-0.6074,0.00561538
00.95138893,AA,AX,664079.8125,-1567964.0000,1.12268381,-0.0666,0.00734151
00.95416671,AA,AX,663879.1875,-1567902.7500,1.12216091,-0.0002,0.00664092
00.95694441,AA,AX,663416.8750,-1567761.8750,1.12252846,0.4567,0.00656051
00.95972219,AA,AX,663143.0625,-1567678.5000,1.12226463,-0.1447,0.00514997
00.96249998,AA,AX,662800.5000,-1567574.3750,1.12301293,-0.1998,0.00489016
00.96527776,AA,AX,662458.7500,-1567470.7500,1.12226894,0.3415,0.00523108
00.96805555,AA,AX,662104.9375,-1567363.5000,1.12322422,-0.0976,0.00491445
00.97083333,AA,AX,661770.6875,-1567262.3750,1.12316671,-0.5366,0.00483867
00.97361112,AA,AX,661419.8750,-1567156.5000,1.12302767,0.6111,0.00477931
00.97638890,AA,AX,661080.1250,-1567054.0000,1.12327883,-0.8577,0.00480341
00.97916669,AA,AX,660737.7500,-1566950.8750,1.12261781,0.5084,0.00481672
00.98194447,AA,AX,660405.2500,-1566851.0000,1.12253279,0.1839,0.00508565
00.98472226,AA,AX,660213.0625,-1566793.2500,1.12264219,0.3783,0.02403103
01.03472221,AA,AX,653696.6875,-1564866.0000,1.12260960,3.5405,0.00979564
01.03749999,AA,AX,653417.3125,-1564784.6250,1.12282180,0.1208,0.00465274
01.04027778,AA,AX,653072.2500,-1564684.2500,1.12269172,-0.0866,0.00539945
01.04305556,AA,AX,652714.4375,-1564580.3750,1.12292641,-1.2007,0.00489838
01.04583335,AA,AX,652358.8125,-1564477.2500,1.12279526,0.7160,0.00474408
01.05972219,AA,AX,650613.8125,-1563973.5000,1.12275158,-0.9119,0.00569153
01.06249997,AA,AX,650211.7500,-1563858.0000,1.12283474,1.2123,0.00549156
01.06527776,AA,AX,649882.5625,-1563763.5000,1.12294431,0.1168,0.00509124
01.06805554,AA,AX,649520.7500,-1563660.0000,1.12281052,0.1656,0.00479810
01.07083333,AA,AX,649161.7500,-1563557.2500,1.12278415,0.6392,0.00597145
01.07361111,AA,AX,648774.1875,-1563446.6250,1.12294864,0.9408,0.00523036
01.07638890,AA,AX,648438.4375,-1563350.8750,1.12282279,-0.1128,0.00511377
01.07916668,AA,AX,648117.1250,-1563259.5000,1.12277557,0.2918,0.00509679
01.08472225,AA,AX,647379.8750,-1563050.0000,1.12279155,0.8876,0.00470975
01.09027782,AA,AX,646663.7500,-1562847.3750,1.12268392,1.4511,0.00503296
01.09305552,AA,AX,646295.8125,-1562743.3750,1.12273276,-0.5507,0.00470749
01.09583330,AA,AX,645920.9375,-1562637.6250,1.12268434,1.7296,0.00553330
01.09861109,AA,AX,645578.8750,-1562541.3750,1.12283130,0.0678,0.00466446
01.10138887,AA,AX,645224.1250,-1562441.6250,1.12266660,0.4481,0.00474268
01.10416666,AA,AX,644887.5000,-1562347.1250,1.12249771,-1.1429,0.00578224
01.10694444,AA,AX,644506.8750,-1562240.3750,1.12279824,-0.3037,0.00494565
01.10972223,AA,AX,644149.0000,-1562140.2500,1.12262586,-0.2306,0.00503475
01.11250001,AA,AX,643770.9375,-1562034.6250,1.12269353,0.0950,0.00480052
01.12083337,AA,AX,642540.8750,-1561692.0000,1.12255990,2.9586,0.01333369
01.12361115,AA,AX,642325.3750,-1561632.2500,1.12268895,0.2750,0.00471449
01.12638885,AA,AX,641948.7500,-1561527.7500,1.12268357,0.1983,0.00476088
01.13194442,AA,AX,641229.7500,-1561328.8750,1.12265013,0.0827,0.00464118
01.35138890,AA,AX,611393.7500,-1553566.8750,1.12283321,-0.8723,0.00539163
01.35416669,AA,MG,1757128192.0000,-4640375808.0000,0.19890317,0.3203,0.00732910
01.35416669,AX,MG,1756656896.0000,-4638800384.0000,0.18695112,13.1551,0.06963774
01.35694447,AA,AX,610628.1250,-1553379.5000,1.12283640,0.6046,0.00463003
01.35694447,AA,MG,1758897152.0000,-4640092672.0000,0.21210071,-0.7743,0.00693202
01.35694447,AX,MG,1758375296.0000,-4638524928.0000,0.22105879,5.4957,0.06167755
01.35972226,AA,AX,610244.4375,-1553285.7500,1.12263832,-1.0889,0.00478446
01.35972226,AA,MG,1760620288.0000,-4639816192.0000,0.20668879,3.7022,0.00691496
01.35972226,AX,MG,1760031104.0000,-4638259200.0000,0.20850418,3.4751,0.06409907
01.36250004,AA,AX,609837.2500,-1553186.3750,1.12274559,0.2140,0.00528552
01.36250004,AA,MG,1762380416.0000,-4639533056.0000,0.21393328,3.7694,0.00733745
01.36250004,AX,MG,1761773184.0000,-4637979136.0000,0.20923064,-30.3944,0.06829633
01.36527774,AA,AX,609494.6875,-1553103.0000,1.12258019,-0.0654,0.00582203
01.36527774,AA,MG,1763987072.0000,-4639274496.0000,0.18737625,-2.4151,0.00651505
01.36527774,AX,MG,1763408768.0000,-4637715968.0000,0.19873726,35.3022,0.07383696
01.36805552,AA,MG,1765800832.0000,-4638981632.0000,0.18848533,4.5507,0.00676822
01.36805552,AX,MG,1765110144.0000,-4637442048.0000,0.17512247,-16.0714,0.07268152
01.37083331,AA,AX,608648.6875,-1552897.3750,1.12242016,-1.6047,0.00668970
01.37083331,AA,MG,1767446656.0000,-4638715904.0000,0.20067465,1.9678,0.00661643
01.37083331,AX,MG,1766762368.0000,-4637175296.0000,0.20793857,-14.0480,0.07055208
01.37361109,AA,AX,608273.8125,-1552806.5000,1.12274723,0.1875,0.00448563
01.37361109,AX,MG,1768527744.0000,-4636890112.0000,0.22828520,-11.1311,0.05618716
01.37638888,AA,AX,607889.8750,-1552713.5000,1.12275693,-1.3217,0.00464967
01.37638888,AA,MG,1770768256.0000,-4638178304.0000,0.19073992,-5.9721,0.00620528
01.37638888,AX,MG,1770215680.0000,-4636616704.0000,0.19523476,-21.5573,0.07981710
01.37916666,AA,AX,607476.8750,-1552613.6250,1.12304226,-0.6961,0.00457856
01.37916666,AA,MG,1772546048.0000,-4637890048.0000,0.21462428,-3.2902,0.00680124
01.37916666,AX,MG,1771818496.0000,-4636356608.0000,0.21947108,-14.2975,0.06176892
01.38194445,AA,AX,607086.8125,-1552519.5000,1.12289799,1.0061,0.00459475
01.38194445,AA,MG,1774156928.0000,-4637627904.0000,0.21643937,0.1732,0.00679118
01.38194445,AX,MG,1773564672.0000,-4636073472.0000,0.22649202,8.0631,0.06655558
01.38472223,AA,AX,606681.2500,-1552421.7500,1.12299232,0.0664,0.00492047
01.38750002,AA,AX,606289.4375,-1552327.3750,1.12298951,-1.0014,0.00487384
01.39027780,AA,MG,1779324928.0000,-4636785664.0000,0.22210403,-6.8360,0.00732988
01.39027780,AX,MG,1778644992.0000,-4635245568.0000,0.22936165,10.6801,0.06168597
01.39305559,AA,AX,605497.2500,-1552137.2500,1.12278824,-0.0552,0.00478309
01.39305559,AA,MG,1780928256.0000,-4636523520.0000,0.21553916,-5.4202,0.00664970
01.39305559,AX,MG,1780296704.0000,-4634975744.0000,0.22434348,-4.8938,0.06270633
01.39583337,AA,AX,605128.0625,-1552048.7500,1.12303952,-0.9505,0.00476195
01.39583337,AA,MG,1782638464.0000,-4636243456.0000,0.21750977,1.6979,0.00754218
01.39583337,AX,MG,1782066048.0000,-4634686464.0000,0.23988142,8.4423,0.06521728
01.39861107,AA,AX,604720.3750,-1551951.2500,1.12286454,-0.1550,0.00453703
01.39861107,AA,MG,1784410240.0000,-4635953152.0000,0.20976915,4.4749,0.00715079
01.39861107,AX,MG,1783656448.0000,-4634425856.0000,0.20357449,-40.1013,0.06970195
01.40138885,AA,AX,604350.8750,-1551863.0000,1.12297626,1.2830,0.00511096
01.40416664,AA,AX,603951.0000,-1551767.5000,1.12315535,0.2078,0.00605712
01.40416664,AA,MG,1787766656.0000,-4635401728.0000,0.20595591,-5.3685,0.00737963
01.40416664,AX,MG,1787085568.0000,-4633862656.0000,0.21346164,-11.4786,0.06469520
01.40694442,AA,AX,603498.3125,-1551659.7500,1.12285162,0.9184,0.00571936
01.40694442,AA,MG,1789327104.0000,-4635144704.0000,0.21450479,-0.1927,0.00705774
01.40694442,AX,MG,1788755584.0000,-4633587712.0000,0.22323781,-2.9676,0.06166222
01.40972221,AA,AX,603135.3125,-1551573.3750,1.12262241,-0.8751,0.00492959
