#SRC:M87,DATE(MJD):58228,FREQ:213.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.06250000,AA,AX,797420.9375,-1637304.6250,1.11809554,3.6590,0.06097048
23.06250000,AA,PV,-3874496000.0000,-4043834368.0000,0.19542747,-6.0321,0.02252843
23.06527805,AA,PV,-3875070208.0000,-4044134912.0000,0.16642562,-9.5055,0.00869754
23.06527805,AX,PV,-3875888384.0000,-4042508544.0000,0.15964884,12.5166,0.03367786
23.06805611,AA,PV,-3876387840.0000,-4044825856.0000,0.17074073,-0.3278,0.00487764
23.06805611,AX,PV,-3877134592.0000,-4043162112.0000,0.16557745,-10.7527,0.04216244
23.07083273,AA,AX,797315.6250,-1636967.0000,1.11734750,1.2677,0.01628928
23.07083273,AA,PV,-3877431040.0000,-4045373696.0000,0.14925437,-0.8101,0.00435655
23.07083273,AX,PV,-3878286080.0000,-4043767296.0000,0.13062474,-8.6927,0.04577804
23.07361078,AA,AX,797273.3125,-1636834.2500,1.11867603,0.2224,0.01355750
23.07361078,AA,PV,-3878576128.0000,-4045976576.0000,0.17654547,-4.9153,0.00500242
23.07361078,AX,PV,-3879435520.0000,-4044372480.0000,0.18248812,23.1421,0.03682970
23.07638884,AA,AX,797229.7500,-1636699.1250,1.11870006,-2.2148,0.01496478
23.07638884,AA,PV,-3879697408.0000,-4046568192.0000,0.17805458,-1.3427,0.00500991
23.07638884,AX,PV,-3880497152.0000,-4044932864.0000,0.17753388,-17.0898,0.03473506
23.07916689,AA,AX,797186.0000,-1636565.2500,1.11759532,-0.0036,0.01596815
23.07916689,AA,PV,-3880830464.0000,-4047167232.0000,0.15349741,-4.8680,0.00508247
23.07916689,AX,PV,-3881629696.0000,-4045531648.0000,0.14654437,34.3390,0.03495821
23.08472157,AA,AX,797096.9375,-1636297.7500,1.11659531,0.1358,0.01627992
23.08472157,AA,PV,-3883122432.0000,-4048382720.0000,0.18560466,2.4072,0.00571036
23.08472157,AX,PV,-3883933952.0000,-4046754048.0000,0.18688147,5.3457,0.03313152
23.08749962,AA,AX,797052.1250,-1636165.3750,1.11620935,-0.1204,0.01893233
23.08749962,AA,PV,-3884081664.0000,-4048892928.0000,0.13662550,1.4476,0.00561261
23.08749962,AX,PV,-3885051904.0000,-4047348736.0000,0.12761117,-8.8472,0.04927343
23.09027767,AX,PV,-3886188800.0000,-4047955200.0000,0.12948509,-12.7580,0.04598627
23.09305573,AA,AX,796958.6250,-1635894.3750,1.11646816,-2.2900,0.01795048
23.09305573,AA,PV,-3886581248.0000,-4050226688.0000,0.19204780,0.3254,0.00613398
23.09305573,AX,PV,-3887335424.0000,-4048568064.0000,0.19292254,-15.5996,0.03267107
23.09583378,AA,AX,796912.6250,-1635763.3750,1.11842043,-2.0656,0.01360466
23.09583378,AA,PV,-3887642112.0000,-4050795008.0000,0.17569454,2.3691,0.00442944
23.09583378,AX,PV,-3888477952.0000,-4049179904.0000,0.17285465,0.5675,0.03497078
23.09861040,AA,AX,796865.0000,-1635629.2500,1.11894666,-1.8425,0.01346010
23.09861040,AA,PV,-3888779520.0000,-4051405056.0000,0.16980305,-2.3030,0.00416225
23.09861040,AX,PV,-3889573120.0000,-4049767680.0000,0.16781750,-15.4260,0.03525943
23.10138845,AA,PV,-3889771264.0000,-4051938304.0000,0.19101649,-2.0229,0.00589343
23.10138845,AX,PV,-3890687488.0000,-4050366976.0000,0.19700001,-17.2060,0.03401563
23.10416651,AA,AX,796767.5625,-1635359.5000,1.11867246,-1.0500,0.01419107
23.10416651,AA,PV,-3891030272.0000,-4052616704.0000,0.20460544,0.6576,0.00531718
23.10416651,AX,PV,-3891821824.0000,-4050978560.0000,0.20313882,-5.4978,0.03038507
23.10694456,AA,AX,796720.0000,-1635229.8750,1.11784174,-0.1127,0.01633922
23.10694456,AA,PV,-3892126720.0000,-4053208832.0000,0.16133183,0.8933,0.00456489
23.10694456,AX,PV,-3892927488.0000,-4051575808.0000,0.15822277,11.0948,0.03984345
23.10972261,AA,AX,796676.5625,-1635112.6250,1.11694348,-1.2734,0.01774907
23.11805534,AA,AX,796504.8125,-1634660.0000,1.11629914,2.6893,0.01939440
23.12083340,AA,AX,796468.0625,-1634565.2500,1.11526170,1.3418,0.01580074
23.12083340,AA,PV,-3897633280.0000,-4056201472.0000,0.19548825,-2.3989,0.00663755
23.12083340,AX,PV,-3898496512.0000,-4054603264.0000,0.19982540,9.9012,0.03573105
23.12361145,AA,AX,796415.6250,-1634431.1250,1.11611430,-1.5197,0.01321724
23.12361145,AX,PV,-3899582976.0000,-4055197952.0000,0.15161842,17.0380,0.04317948
23.12638950,AA,AX,796363.1250,-1634298.2500,1.11658834,1.1601,0.01325227
23.12638950,AA,PV,-3899895296.0000,-4057440000.0000,0.18694300,1.8637,0.00497836
23.12638950,AX,PV,-3900729344.0000,-4055826432.0000,0.19190660,-3.1581,0.03099758
23.12916613,AA,PV,-3900954880.0000,-4058021888.0000,0.17541189,0.3243,0.00419392
23.12916613,AX,PV,-3901814016.0000,-4056422400.0000,0.17352160,8.0897,0.03668292
23.13194418,AA,PV,-3902084608.0000,-4058643968.0000,0.19032293,0.9506,0.00424266
23.13194418,AX,PV,-3902944512.0000,-4057045248.0000,0.16412582,21.6849,0.03383516
