#SRC:M87,DATE(MJD):58230,FREQ:229.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.18472223,AA,AX,792504.3125,-1702780.7500,1.09479735,-0.3295,0.00612296
00.18750000,AA,AX,792253.3125,-1702655.2500,1.09479068,-0.3359,0.00625477
00.19027779,AA,AX,792001.8750,-1702529.8750,1.09465772,0.4824,0.00636853
00.19305555,AA,AX,791750.0625,-1702404.5000,1.09442626,-0.3705,0.00652020
00.19583333,AA,AX,791497.8125,-1702279.2500,1.09359936,1.1567,0.00714489
00.19861112,AA,AX,791245.0625,-1702154.0000,1.09460404,0.0766,0.00694326
00.20138888,AA,AX,790991.8750,-1702028.6250,1.09472530,-0.0178,0.00663879
00.20416667,AA,AX,790734.8750,-1701901.7500,1.09475317,-0.0298,0.00688321
00.20694445,AA,AX,790488.5000,-1701780.3750,1.09228550,0.1909,0.00898211
00.20972221,AA,AX,790240.0000,-1701658.2500,1.09250506,0.4238,0.00946440
00.21250000,AA,AX,789878.0000,-1701480.7500,1.09325350,4.2255,0.01801690
00.21527778,AA,AX,789719.6250,-1701403.2500,1.09186728,1.0976,0.01086200
00.21805555,AA,AX,789463.8750,-1701278.2500,1.09243793,0.2030,0.01095541
00.22361112,AA,AX,788894.1250,-1701000.8750,1.09403030,-1.0281,0.01188279
00.22638888,AA,AX,788694.0000,-1700903.6250,1.09250673,0.1331,0.00952250
00.22916666,AA,AX,788425.1250,-1700773.3750,1.09303977,-1.0505,0.01008808
00.23472221,AA,AX,787915.0625,-1700527.0000,1.09129303,-0.5485,0.00957587
00.24027778,AA,AX,787438.5625,-1700297.6250,1.09051710,0.6047,0.01147316
00.24305554,AA,AX,787054.2500,-1700113.3750,1.09254454,3.4794,0.01346093
00.24583333,AA,AX,786882.5625,-1700031.2500,1.09204374,1.4434,0.00802772
00.24861111,AA,AX,786623.3750,-1699907.3750,1.09350483,0.5413,0.00730968
00.25138888,AA,AX,786486.3750,-1699842.0000,1.09478512,-2.4608,0.03249653
00.47083332,AA,AX,764316.5625,-1690069.7500,1.09431250,-2.5095,0.00924838
00.47361110,AA,AX,764108.9375,-1689984.8750,1.09444209,-0.1866,0.00718192
00.47638889,AA,AX,763805.0625,-1689860.8750,1.09472090,-0.2911,0.00593135
00.47916667,AA,AX,763519.3750,-1689744.5000,1.09446007,-0.5133,0.00643090
00.48194446,AA,AX,763230.8125,-1689627.1250,1.09475058,0.9414,0.00608690
00.48472224,AA,AX,762927.1250,-1689503.7500,1.09443011,-0.8874,0.00672799
00.49027777,AA,AX,762348.0625,-1689269.3750,1.09452006,1.6275,0.00641244
00.49305555,AA,AX,762042.5625,-1689146.0000,1.09468797,-0.3052,0.00598349
00.49583334,AA,AX,761737.5000,-1689023.0000,1.09463177,0.4752,0.00562016
00.49861112,AA,AX,761437.5000,-1688902.3750,1.09461543,-0.3545,0.00598457
00.50138891,AA,AX,761131.0000,-1688779.2500,1.09465554,0.7025,0.00583054
00.50416665,AA,AX,760842.5625,-1688663.6250,1.09468606,-0.0132,0.00589707
00.50694443,AA,AX,760552.8750,-1688547.7500,1.09442048,-0.4977,0.00652006
00.50972222,AA,AX,760213.1875,-1688412.1250,1.09450073,-0.5658,0.00708341
00.51250000,AA,AX,759940.0000,-1688303.2500,1.09454646,1.0145,0.00590737
00.51527779,AA,AX,759640.9375,-1688184.1250,1.09476911,-1.0104,0.00620190
00.51805557,AA,AX,759339.3125,-1688064.3750,1.09470600,0.1722,0.00588408
00.52638888,AA,AX,758431.1250,-1687704.8750,1.09470646,-0.0775,0.00577054
00.52916667,AA,AX,758122.4375,-1687583.1250,1.09455393,-0.3587,0.00553232
00.53194445,AA,AX,757823.5625,-1687465.3750,1.09458882,0.0423,0.00542652
00.53472224,AA,AX,757518.6250,-1687345.6250,1.09475144,-1.1945,0.00559114
00.53749998,AA,AX,757240.4375,-1687236.5000,1.09462681,-0.7847,0.00609809
00.54027776,AA,AX,756885.1875,-1687097.3750,1.09460290,0.4788,0.00609954
00.54305555,AA,AX,756600.1250,-1686985.8750,1.09475500,-1.4158,0.00555065
00.54583333,AA,AX,756295.6250,-1686867.1250,1.09487196,-0.1091,0.00554684
