#SRC:M87,DATE(MJD):58230,FREQ:215.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.17638889,AA,AX,745344.0000,-1595326.6250,1.12206804,0.3124,0.00882131
00.18472223,AA,AX,744683.6250,-1595007.2500,1.12217116,-0.1539,0.00566343
00.18750000,AA,AX,744441.8750,-1594890.6250,1.12208206,-0.2485,0.00578852
00.19027779,AA,AX,744199.6875,-1594774.2500,1.12210792,-0.0616,0.00579916
00.19305555,AA,AX,743957.1250,-1594657.7500,1.12196780,-0.0077,0.00592210
00.19583333,AA,AX,743714.1875,-1594541.3750,1.12101755,-0.0237,0.00647336
00.19861112,AA,AX,743470.8750,-1594425.0000,1.12170003,-0.0637,0.00626035
00.20138888,AA,AX,743227.1250,-1594308.7500,1.12220799,-0.0256,0.00608427
00.20416667,AA,AX,742983.0000,-1594192.5000,1.12218563,0.1856,0.00622674
00.20694445,AA,AX,742738.5000,-1594076.2500,1.12106333,-0.1603,0.00782039
00.20972221,AA,AX,742493.5625,-1593960.0000,1.12066082,0.1911,0.00819595
00.21527778,AA,AX,742002.5625,-1593727.7500,1.11981247,0.1975,0.00915966
00.21805555,AA,AX,741756.4375,-1593611.6250,1.11959375,0.1377,0.00939901
00.22361112,AA,AX,741218.5625,-1593358.7500,1.12201302,0.2383,0.00935840
00.22638888,AA,AX,741015.7500,-1593263.6250,1.12055726,0.0819,0.00847264
00.22916666,AA,AX,740768.0625,-1593147.6250,1.12208327,0.4182,0.00732018
00.23472221,AA,AX,740271.5625,-1592915.8750,1.12099953,0.4266,0.00854303
00.23750000,AA,AX,740022.6875,-1592800.1250,1.11918786,0.5330,0.00907799
00.24027778,AA,AX,739773.4375,-1592684.3750,1.11837507,0.4792,0.00928111
00.24583333,AA,AX,739273.7500,-1592452.8750,1.11994366,0.5309,0.00722397
00.24861111,AA,AX,739023.3125,-1592337.2500,1.12122311,0.7139,0.00628230
00.47083332,AA,AX,717653.7500,-1583187.5000,1.12199488,-0.1695,0.00780280
00.47361110,AA,AX,717445.1875,-1583104.3750,1.12195082,-0.1532,0.00543530
00.47638889,AA,AX,717163.0000,-1582992.2500,1.12190596,-0.2885,0.00534754
00.47916667,AA,AX,716875.2500,-1582878.0000,1.12215804,-0.0911,0.00540542
00.48194446,AA,AX,716597.4375,-1582767.8750,1.12188128,-0.1655,0.00535236
00.48472224,AA,AX,716314.1250,-1582655.7500,1.12195690,-0.1171,0.00529555
00.48749998,AA,AX,716030.3750,-1582543.6250,1.12185613,-0.1634,0.00529949
00.49027777,AA,AX,715746.3125,-1582431.6250,1.12234488,-0.1378,0.00504205
00.49305555,AA,AX,715461.8125,-1582319.6250,1.12221882,-0.2007,0.00512581
00.49583334,AA,AX,715176.9375,-1582207.7500,1.12229704,-0.1711,0.00509167
00.49861112,AA,AX,714889.8125,-1582095.1250,1.12235689,-0.1670,0.00518291
00.50416665,AA,AX,714316.2500,-1581870.7500,1.12231274,-0.2004,0.00535504
00.50694443,AA,AX,714042.6875,-1581764.0000,1.12206138,-0.1959,0.00555497
00.51527779,AA,AX,713172.2500,-1581425.5000,1.12232007,-0.1123,0.00513568
00.51805557,AA,AX,712884.3750,-1581313.8750,1.12249961,-0.1030,0.00507355
00.52083331,AA,AX,712596.0625,-1581202.3750,1.12242351,-0.1602,0.00502931
00.52361110,AA,AX,712304.2500,-1581089.7500,1.12218855,-0.1289,0.00548904
00.52638888,AA,AX,712018.3750,-1580979.5000,1.12232418,-0.1575,0.00502400
00.52916667,AA,AX,711726.0625,-1580867.0000,1.12249819,-0.1380,0.00515490
00.53194445,AA,AX,711439.1875,-1580756.7500,1.12231522,-0.1222,0.00504023
00.53472224,AA,AX,711149.0000,-1580645.3750,1.12235723,-0.1262,0.00513975
00.53749998,AA,AX,710868.0625,-1580537.8750,1.12221483,-0.1065,0.00532125
00.54027776,AA,AX,710567.5000,-1580423.0000,1.12216706,-0.1459,0.00509588
00.54305555,AA,AX,710276.1875,-1580311.7500,1.12231398,-0.0838,0.00504228
00.54583333,AA,AX,709984.5000,-1580200.6250,1.12237145,-0.1566,0.00506705
00.54861112,AA,AX,709692.5000,-1580089.6250,1.12219954,-0.0838,0.00520292
00.55138890,AA,AX,709400.0000,-1579978.6250,1.12199117,-0.0702,0.00533008
00.55416664,AA,AX,709096.5625,-1579863.5000,1.12194206,-0.0389,0.00569749
00.55972221,AA,AX,708520.4375,-1579645.7500,1.12215877,-0.0533,0.00530866
00.56527779,AA,AX,707932.1875,-1579424.1250,1.12206653,-0.0132,0.00518730
00.56805557,AA,AX,707637.5000,-1579313.3750,1.12193839,0.0152,0.00520264
00.57083336,AA,AX,707342.3750,-1579202.6250,1.12199957,-0.0564,0.00572704
00.57361110,AA,AX,707048.4375,-1579092.5000,1.12202034,-0.0689,0.00518215
00.57916667,AA,AX,706454.8750,-1578870.8750,1.12209881,-0.0270,0.00503695
00.63472223,AA,AX,700452.1250,-1576669.2500,1.12205741,-0.2344,0.00511557
00.64027776,AA,AX,699840.0625,-1576448.8750,1.12206275,-0.1483,0.00523409
00.64305554,AA,AX,699538.8125,-1576340.7500,1.12209427,-0.1320,0.00510592
00.64583333,AA,AX,699228.0625,-1576229.2500,1.12208347,-0.1549,0.00522927
00.64861111,AA,AX,698928.1250,-1576121.8750,1.12235075,-0.2003,0.00501306
00.65138890,AA,AX,698622.1875,-1576012.5000,1.12249543,-0.2013,0.00495905
00.65416668,AA,AX,698315.8750,-1575903.2500,1.12225227,-0.0163,0.00510815
00.65694442,AA,AX,698009.2500,-1575794.0000,1.12240088,-0.0791,0.00506546
00.65972221,AA,AX,697702.1875,-1575684.7500,1.12226959,-0.1045,0.00513877
00.66249999,AA,AX,697394.8125,-1575575.6250,1.12301943,-0.1049,0.00496383
00.66527778,AA,AX,697084.9375,-1575465.7500,1.12285916,-0.0805,0.00513741
00.66805556,AA,AX,696778.8750,-1575357.5000,1.12353972,-0.0998,0.00501852
00.67083335,AA,AX,696470.3750,-1575248.5000,1.12329568,-0.0283,0.00501506
00.67361109,AA,AX,696161.4375,-1575139.5000,1.12286233,-0.0696,0.00526768
00.67638887,AA,AX,695852.1875,-1575030.6250,1.12310813,-0.0237,0.00518264
00.67916666,AA,AX,695542.5625,-1574921.7500,1.12283673,-0.0117,0.00522162
00.68194444,AA,AX,695232.5625,-1574813.0000,1.12314725,-0.0027,0.00504017
00.68472223,AA,AX,694922.1875,-1574704.1250,1.12336184,0.0105,0.00501849
00.68750001,AA,AX,694611.5000,-1574595.5000,1.12322965,0.0542,0.00489042
00.69027780,AA,AX,694300.3750,-1574486.7500,1.12246529,0.0141,0.00518536
00.69305554,AA,AX,693988.8750,-1574378.1250,1.12215996,-0.0036,0.00529548
00.69861111,AA,AX,693364.8125,-1574161.1250,1.12168092,0.0565,0.00555039
00.70416668,AA,AX,692739.3125,-1573944.2500,1.12191943,0.0155,0.00543759
00.70694447,AA,AX,692426.0000,-1573835.8750,1.12239796,0.0771,0.00515311
00.70972221,AA,AX,692112.3125,-1573727.5000,1.12199814,0.0773,0.00532562
00.71249999,AA,AX,691798.2500,-1573619.2500,1.12236146,0.1100,0.00510358
00.71527778,AA,AX,691483.8125,-1573511.0000,1.12222861,0.0985,0.00512244
00.72083335,AA,AX,690853.8750,-1573294.7500,1.12207830,0.1119,0.00510795
00.72638887,AA,AX,690222.4375,-1573078.6250,1.12202840,0.2185,0.00507655
