#SRC:M87,DATE(MJD):58228,FREQ:215.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.06250000,AA,PV,-3910905600.0000,-4081810944.0000,0.14601849,-6.7839,0.01625407
23.06527805,AA,PV,-3911587840.0000,-4082168576.0000,0.19199464,-2.7499,0.00826767
23.06527805,AX,PV,-3912278016.0000,-4080455680.0000,0.19322461,-4.2963,0.02996741
23.06805611,AA,AX,804842.9375,-1652471.0000,1.12168981,0.0533,0.02369670
23.06805611,AA,PV,-3912765952.0000,-4082786048.0000,0.18011873,7.0189,0.00524200
23.06805611,AX,PV,-3913372160.0000,-4081029376.0000,0.18370747,1.0376,0.04149871
23.07083273,AA,AX,804798.6875,-1652330.3750,1.12067398,2.2477,0.01542825
23.07083273,AA,PV,-3913821696.0000,-4083340800.0000,0.17152934,-3.6306,0.00524981
23.07083273,AX,PV,-3914622208.0000,-4081686272.0000,0.17559697,-3.7980,0.03394285
23.07361078,AA,AX,804754.7500,-1652192.6250,1.12089243,-1.5031,0.01286332
23.07361078,AA,PV,-3914961664.0000,-4083940864.0000,0.14087294,-0.5979,0.00457529
23.07361078,AX,PV,-3915758848.0000,-4082284800.0000,0.13715239,5.1496,0.03555796
23.07638884,AA,AX,804714.9375,-1652069.1250,1.11967399,-0.4934,0.01997501
23.07638884,AA,PV,-3916126720.0000,-4084555520.0000,0.13082977,-0.9092,0.00375594
23.07916689,AA,AX,804667.8125,-1651924.8750,1.11806923,-0.0561,0.01428402
23.07916689,AA,PV,-3917274112.0000,-4085162240.0000,0.17782290,0.3714,0.00575783
23.07916689,AX,PV,-3918080768.0000,-4083511296.0000,0.17615146,11.1486,0.02823259
23.08194494,AA,PV,-3918367488.0000,-4085741312.0000,0.17057521,-2.0317,0.00945617
23.08194494,AX,PV,-3919214336.0000,-4084111872.0000,0.17753060,-4.6826,0.03457187
23.08472157,AA,AX,804579.7500,-1651660.2500,1.11871265,-0.8812,0.01648836
23.08472157,AA,PV,-3919589632.0000,-4086390272.0000,0.18444656,0.3415,0.00555227
23.08472157,AX,PV,-3920348160.0000,-4084713984.0000,0.18817422,-22.4548,0.03467373
23.08749962,AA,PV,-3920675840.0000,-4086968064.0000,0.15090831,0.5314,0.00569678
23.08749962,AX,PV,-3921773056.0000,-4085472256.0000,0.14142752,1.4454,0.07962957
23.09027767,AA,PV,-3921754112.0000,-4087542784.0000,0.15584846,-4.7332,0.00840643
23.09027767,AX,PV,-3922616064.0000,-4085922048.0000,0.15934995,-10.5948,0.04227775
23.09305573,AA,AX,804440.9375,-1651255.3750,1.11757325,-3.5461,0.02049050
23.09583378,AA,AX,804391.8750,-1651115.5000,1.12030843,-2.1236,0.01346805
23.09583378,AA,PV,-3924106240.0000,-4088800512.0000,0.15282297,0.5847,0.00455575
23.09583378,AX,PV,-3924931072.0000,-4087160576.0000,0.15316454,8.0036,0.03446942
23.09861040,AA,AX,804344.0625,-1650980.8750,1.12139388,1.9915,0.01227274
23.09861040,AA,PV,-3925266176.0000,-4089422848.0000,0.14003700,-7.1927,0.00402569
23.09861040,AX,PV,-3926058496.0000,-4087765504.0000,0.14865541,-2.0269,0.04292947
23.10138845,AA,AX,804300.5000,-1650859.5000,1.12071021,0.0628,0.01365381
23.10138845,AA,PV,-3926311936.0000,-4089985280.0000,0.16110578,-2.5471,0.00499475
23.10138845,AX,PV,-3927196416.0000,-4088377600.0000,0.15825667,-7.6479,0.03484399
23.10416651,AA,AX,804253.8125,-1650730.6250,1.12067604,-1.2828,0.01851595
23.10416651,AA,PV,-3927633152.0000,-4090697216.0000,0.17346796,-0.3291,0.00504285
23.10416651,AX,PV,-3928132608.0000,-4088881920.0000,0.18604470,0.7792,0.04577034
23.10694456,AA,AX,804196.5000,-1650574.3750,1.11785431,1.9756,0.01538174
23.10694456,AA,PV,-3928636672.0000,-4091239168.0000,0.19048192,-0.2349,0.00546462
23.10694456,AX,PV,-3929482240.0000,-4089611008.0000,0.19206165,1.4338,0.03066873
23.11805534,AA,AX,803980.2500,-1650001.7500,1.11867545,-2.5851,0.01729667
23.12083340,AA,PV,-3934234112.0000,-4094281216.0000,0.18580537,-0.1627,0.00551870
23.12083340,AX,PV,-3935073792.0000,-4092651008.0000,0.19095870,-15.7086,0.04147977
23.12361145,AA,AX,803890.2500,-1649770.7500,1.11835907,1.3333,0.01181869
23.12361145,AA,PV,-3935474688.0000,-4094959872.0000,0.17146920,8.2812,0.00499691
23.12361145,AX,PV,-3936163328.0000,-4093246976.0000,0.17137901,12.3129,0.03501384
23.12638950,AA,AX,803837.2500,-1649636.6250,1.11865599,0.3554,0.01212870
23.12638950,AA,PV,-3936496896.0000,-4095520256.0000,0.19411841,2.0587,0.00489342
23.12638950,AX,PV,-3937312768.0000,-4093877248.0000,0.19638394,10.0903,0.02830374
23.12916613,AA,AX,803787.1250,-1649511.0000,1.11836629,1.8633,0.01775048
23.12916613,AA,PV,-3937534464.0000,-4096090112.0000,0.17719172,-0.3003,0.00583452
23.12916613,AX,PV,-3938371072.0000,-4094458624.0000,0.18222977,-7.7537,0.04083198
23.13194418,AA,AX,803725.1875,-1649357.3750,1.11985865,0.9537,0.01372910
23.13194418,AA,PV,-3938739456.0000,-4096753408.0000,0.18771317,-0.8823,0.00469229
23.13194418,AX,PV,-3939591680.0000,-4095131136.0000,0.19394304,-3.8226,0.04171785
23.13472223,AA,PV,-3939294720.0000,-4097059840.0000,0.18064435,13.3647,0.02196955
23.18472290,AA,AX,802604.4375,-1646827.5000,1.12229234,0.1913,0.00908017
23.18472290,AA,PV,-3959385344.0000,-4108371968.0000,0.19631272,0.8302,0.00413087
23.18749952,AA,AX,802541.4375,-1646697.1250,1.12112552,-1.2087,0.00916503
23.18749952,AA,PV,-3960515328.0000,-4109022208.0000,0.17243914,-1.7618,0.00368551
23.18749952,AX,PV,-3961306368.0000,-4107368960.0000,0.17210522,-7.5921,0.03313278
