#SRC:M87,DATE(MJD):58232,FREQ:213.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
22.78749990,AX,PV,-3874168576.0000,-4038563840.0000,0.07298473,-1.0074,0.02200464
22.79305601,AX,PV,-3876459776.0000,-4039776768.0000,0.08485995,3.5695,0.02199014
22.79861069,AX,PV,-3878742784.0000,-4040990208.0000,0.06880816,21.7646,0.02192043
22.80138874,AX,PV,-3879881216.0000,-4041597184.0000,0.09561893,-7.2549,0.02188553
22.80416679,AX,PV,-3881017600.0000,-4042204416.0000,0.09960834,5.2348,0.02186179
22.80694485,AX,PV,-3882132736.0000,-4042801664.0000,0.07017766,-20.7252,0.02226697
22.80972290,AX,PV,-3883283968.0000,-4043419392.0000,0.06381468,1.5547,0.02178184
22.81249952,AX,PV,-3884413952.0000,-4044027136.0000,0.08642640,18.7163,0.02174660
22.81527758,AX,PV,-3885542144.0000,-4044635136.0000,0.10814150,-17.3556,0.02171175
22.82083368,AX,PV,-3887791872.0000,-4045851392.0000,0.10712511,-0.9524,0.02164289
22.82361174,AX,PV,-3888923136.0000,-4046465024.0000,0.09625883,-7.2920,0.02205351
22.82638836,AX,PV,-3890033664.0000,-4047068416.0000,0.09493828,20.6720,0.02157404
22.83194447,AX,PV,-3892267008.0000,-4048286208.0000,0.06799745,-27.7101,0.02151032
22.83472252,AX,PV,-3893380608.0000,-4048895232.0000,0.10503165,2.5526,0.02147063
22.83750057,AX,PV,-3894492160.0000,-4049504768.0000,0.08274830,-4.1249,0.02143681
22.84027719,AX,PV,-3895620096.0000,-4050124288.0000,0.11170282,7.0825,0.02184194
22.84305525,AX,PV,-3896716288.0000,-4050727936.0000,0.07150065,-15.2458,0.02180769
22.84861135,AX,PV,-3898917376.0000,-4051943680.0000,0.10953983,6.6572,0.02129857
22.85416603,AX,PV,-3901117696.0000,-4053164032.0000,0.12541491,14.3846,0.02122894
22.85694408,AX,PV,-3902214656.0000,-4053774592.0000,0.10368811,-5.6363,0.02120027
22.85972214,AX,PV,-3903309568.0000,-4054385408.0000,0.08997561,10.2895,0.02118130
22.86250019,AX,PV,-3904402432.0000,-4054996224.0000,0.09105585,-19.9241,0.02117571
22.86527824,AX,PV,-3905493248.0000,-4055607296.0000,0.13245615,10.6387,0.02117412
23.26805592,AA,PV,-4040612608.0000,-4147456768.0000,0.12157066,0.9617,0.00343395
23.26805592,AA,AX,786283.9375,-1611177.1250,1.15168688,0.2224,0.00683315
23.26805592,AX,PV,-4041398784.0000,-4145845504.0000,0.12511849,19.9083,0.02229497
23.27083397,AA,AX,786149.7500,-1611054.1250,1.15150438,0.1625,0.00696784
23.27361059,AA,AX,786015.1875,-1610931.1250,1.15170333,0.0896,0.00684884
23.27638865,AA,AX,785888.3125,-1610815.5000,1.15004247,0.0665,0.00835079
23.28194475,AA,PV,-4044501760.0000,-4150619392.0000,0.11478852,0.1596,0.00371715
23.28194475,AA,AX,785608.9375,-1610562.2500,1.15009582,0.1009,0.00764230
23.28194475,AX,PV,-4045287424.0000,-4149008896.0000,0.11754546,-4.7693,0.02285597
23.28472281,AA,PV,-4045273088.0000,-4151252480.0000,0.12596116,-0.8148,0.00369606
23.28472281,AA,AX,785472.6875,-1610439.3750,1.15116555,0.1817,0.00693016
23.28472281,AX,PV,-4046058752.0000,-4149641984.0000,0.13117860,-9.3285,0.02079794
23.28749943,AA,AX,785336.0000,-1610316.3750,1.15121174,0.0042,0.00677733
23.28749943,AA,PV,-4046042368.0000,-4151885568.0000,0.11263198,0.7195,0.00327748
23.28749943,AX,PV,-4046827776.0000,-4150275072.0000,0.11623465,4.4045,0.02286452
23.29027748,AA,PV,-4046809600.0000,-4152518656.0000,0.10596191,0.0316,0.00284170
23.29027748,AA,AX,785198.9375,-1610193.5000,1.15187932,0.0081,0.00631636
23.29027748,AX,PV,-4047594752.0000,-4150908416.0000,0.10821684,-12.9656,0.02452156
23.29305553,AA,PV,-4047574528.0000,-4153152000.0000,0.12059690,0.5634,0.00343221
23.29305553,AA,AX,785061.3750,-1610070.7500,1.15095623,0.0849,0.00687732
23.29305553,AX,PV,-4048359424.0000,-4151541760.0000,0.12347877,9.6353,0.02203196
23.29583359,AA,PV,-4048337152.0000,-4153785344.0000,0.13278273,-0.8498,0.00350714
23.29583359,AA,AX,784923.5000,-1609947.8750,1.15162412,0.1053,0.00658581
23.29583359,AX,PV,-4049122048.0000,-4152175360.0000,0.13411297,-9.3264,0.02059367
23.29861164,AA,PV,-4049097984.0000,-4154418944.0000,0.12475582,0.5417,0.00375360
23.29861164,AA,AX,784785.1250,-1609825.0000,1.15042015,-0.2357,0.00774888
23.29861164,AX,PV,-4049882624.0000,-4152808960.0000,0.13716885,-11.4132,0.02257678
23.30138826,AA,PV,-4049856256.0000,-4155052544.0000,0.13865409,-0.8796,0.00389509
23.30138826,AA,AX,784646.3750,-1609702.2500,1.15083286,0.0220,0.00705069
23.30138826,AX,PV,-4050640896.0000,-4153442816.0000,0.14049949,2.2100,0.01974667
23.30416632,AA,PV,-4050612736.0000,-4155686400.0000,0.13149133,0.4433,0.00369769
23.30416632,AA,AX,784507.1875,-1609579.5000,1.15028298,0.1935,0.00735187
23.30416632,AX,PV,-4051397120.0000,-4154076672.0000,0.13515734,-2.3913,0.02162406
23.30694437,AA,PV,-4051366912.0000,-4156320256.0000,0.13264404,0.0892,0.00384639
23.30694437,AX,PV,-4052151296.0000,-4154710784.0000,0.13602148,-10.5570,0.02144236
