#SRC:M87,DATE(MJD):58230,FREQ:229.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.18472223,AA,AX,793158.6250,-1698833.8750,1.09473051,-0.2055,0.00621021
00.18750000,AA,AX,792901.1250,-1698709.7500,1.09478747,-0.1034,0.00630492
00.19027779,AA,AX,792643.1875,-1698585.7500,1.09442735,-0.3810,0.00646261
00.19305555,AA,AX,792384.8750,-1698461.6250,1.09434382,-0.1175,0.00660111
00.19583333,AA,AX,792126.1250,-1698337.7500,1.09340634,-0.0715,0.00724489
00.19861112,AA,AX,791866.9375,-1698213.7500,1.09462220,-0.0335,0.00700836
00.20138888,AA,AX,791607.3125,-1698089.8750,1.09449753,-0.0954,0.00673206
00.20416667,AA,AX,791347.3125,-1697966.0000,1.09448495,0.0477,0.00680365
00.20694445,AA,AX,791086.8750,-1697842.2500,1.09194692,-0.2941,0.00899790
00.20972221,AA,AX,790826.0000,-1697718.5000,1.09179037,0.0907,0.00961635
00.21250000,AA,AX,790564.7500,-1697594.7500,1.08878098,-0.3575,0.01306705
00.21527778,AA,AX,790303.0625,-1697471.1250,1.09175074,0.1467,0.01102666
00.21805555,AA,AX,790040.8750,-1697347.3750,1.09181973,-0.0349,0.01121427
00.22083333,AA,AX,789778.3750,-1697223.8750,1.08849581,-0.0512,0.01740149
00.22361112,AA,AX,789508.0625,-1697096.8750,1.09146196,0.4802,0.01133974
00.22638888,AA,AX,789252.0000,-1696976.7500,1.09231779,0.2479,0.00964960
00.22916666,AA,AX,788988.2500,-1696853.2500,1.09396531,0.0932,0.00828230
00.23472221,AA,AX,788459.3750,-1696606.3750,1.09087492,0.3170,0.00955913
00.23750000,AA,AX,788194.3125,-1696483.1250,1.08983343,0.1240,0.01029754
00.24027778,AA,AX,787928.8125,-1696359.7500,1.08880829,0.5212,0.01122849
00.24305554,AA,AX,787659.3750,-1696234.8750,1.08806489,0.4365,0.01307950
00.24583333,AA,AX,787396.6250,-1696113.2500,1.09157303,0.4932,0.00812081
00.24861111,AA,AX,787129.8750,-1695990.1250,1.09348418,0.5195,0.00694090
00.46805558,AA,GL,-2068731008.0000,-7031112192.0000,0.03249523,100.0634,0.01097388
00.47083332,AA,AX,764369.3125,-1686244.7500,1.09407169,-0.7492,0.00849570
00.47083332,AA,GL,-2066806528.0000,-7031435776.0000,0.04348850,84.5991,0.01347666
00.47083332,AX,GL,-2067101824.0000,-7029828608.0000,0.07309996,-173.1462,0.16350696
00.47361110,AA,GL,-2064880896.0000,-7031759360.0000,0.03860234,42.6568,0.01323576
00.47361110,AA,AX,764147.1250,-1686156.2500,1.09390839,-0.7649,0.00596012
00.47361110,AX,GL,-2065644928.0000,-7030073344.0000,0.04128832,81.9940,0.11182200
00.47638889,AA,AX,763846.5625,-1686036.7500,1.09445530,-0.6280,0.00576193
00.47638889,AX,GL,-2063717888.0000,-7030396416.0000,0.12032516,-51.6784,0.10497822
00.47916667,AA,GL,-2061026176.0000,-7032404992.0000,0.03328915,49.5045,0.01473412
00.47916667,AA,AX,763545.5625,-1685917.2500,1.09411400,-0.6827,0.00579580
