#SRC:M87,DATE(MJD):58228,FREQ:213.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.06250000,AA,AX,802836.0000,-1632083.8750,1.12143337,1.5252,0.02992894
23.06250000,AA,PV,-3879142912.0000,-4043263744.0000,0.17050433,-2.6459,0.00944242
23.06250000,AX,PV,-3879563776.0000,-4041427712.0000,0.16350089,33.9389,0.03884835
23.06527805,AA,AX,802799.4375,-1632011.0000,1.12133969,-0.1734,0.01117396
23.06805611,AA,AX,802736.0625,-1631885.3750,1.12119823,-0.8620,0.01375101
23.06805611,AA,PV,-3880937216.0000,-4044222976.0000,0.16731902,1.1559,0.00387438
23.06805611,AX,PV,-3881749760.0000,-4042596352.0000,0.16030374,-7.7031,0.03958779
23.07083273,AA,AX,802672.2500,-1631759.7500,1.11724820,-0.9066,0.01656331
23.07083273,AA,PV,-3882070016.0000,-4044830464.0000,0.15658041,0.3851,0.00451490
23.07083273,AX,PV,-3882872832.0000,-4043198720.0000,0.15270113,2.0345,0.03923555
23.07361078,AA,AX,802608.0625,-1631634.1250,1.11937157,-0.3638,0.01280962
23.07361078,AA,PV,-3883201024.0000,-4045437952.0000,0.16807991,-0.5516,0.00398565
23.07361078,AX,PV,-3884003584.0000,-4043806208.0000,0.16462363,16.3606,0.03433348
23.07638884,AA,AX,802543.3750,-1631508.6250,1.11708476,-1.0759,0.01554654
23.07638884,AA,PV,-3884329984.0000,-4046045696.0000,0.17266627,1.2740,0.00488099
23.07638884,AX,PV,-3885132544.0000,-4044414208.0000,0.17452244,-6.9366,0.03403996
23.07916689,AA,AX,802478.3125,-1631383.0000,1.11715415,-0.2371,0.01667554
23.07916689,AA,PV,-3885456640.0000,-4046653440.0000,0.14520703,0.2991,0.00461981
23.08194494,AA,AX,802413.5625,-1631258.8750,1.11487102,-1.3793,0.02514302
23.08194494,AA,PV,-3886568192.0000,-4047254528.0000,0.13231017,0.1985,0.00598196
23.08194494,AX,PV,-3887383808.0000,-4045630464.0000,0.13058326,-10.5110,0.04488902
23.08472157,AA,AX,802346.8750,-1631131.8750,1.11574655,-0.1880,0.01661122
23.08472157,AA,PV,-3887704064.0000,-4047869952.0000,0.16921122,-0.4056,0.00524707
23.08472157,AX,PV,-3888515840.0000,-4046243840.0000,0.16734080,10.6465,0.03450838
23.08749962,AA,AX,802280.5000,-1631006.3750,1.11424507,0.7818,0.01943730
23.08749962,AA,PV,-3888824832.0000,-4048478208.0000,0.15881919,1.2226,0.00602964
23.08749962,AX,PV,-3889623296.0000,-4046845184.0000,0.16064903,-12.3426,0.03513927
23.09027767,AA,PV,-3889943296.0000,-4049086976.0000,0.13893292,-0.3488,0.00569681
23.09027767,AX,PV,-3890741760.0000,-4047453952.0000,0.13338990,-16.7766,0.04155523
23.09305573,AA,AX,802146.5000,-1630755.2500,1.11531658,1.6065,0.01640766
23.09305573,AA,PV,-3891059712.0000,-4049695744.0000,0.18541498,0.0810,0.00541110
23.09305573,AX,PV,-3891861760.0000,-4048065024.0000,0.18380293,-14.4780,0.03237967
23.09583378,AA,AX,802078.8750,-1630629.7500,1.11786511,-0.4608,0.01395424
23.09583378,AA,PV,-3892174080.0000,-4050304512.0000,0.16491932,-0.3034,0.00416029
23.09583378,AX,PV,-3892976128.0000,-4048674048.0000,0.15806422,-10.3959,0.03581441
23.09861040,AA,AX,802010.8125,-1630504.2500,1.11852151,0.0622,0.01307590
23.09861040,AA,PV,-3893286400.0000,-4050913792.0000,0.14977799,0.5256,0.00361219
23.09861040,AX,PV,-3894088448.0000,-4049283328.0000,0.14436151,-11.1121,0.03867046
23.10138845,AA,PV,-3894396672.0000,-4051523072.0000,0.20374233,0.1702,0.00422612
23.10416651,AA,AX,801873.3750,-1630253.3750,1.11828488,0.3661,0.01383198
23.10416651,AA,PV,-3895504896.0000,-4052132608.0000,0.19207780,-0.3169,0.00474728
23.10416651,AX,PV,-3896306688.0000,-4050502144.0000,0.18986763,-0.6238,0.03110674
23.10694456,AA,AX,801804.0625,-1630127.8750,1.11735189,0.0031,0.01660894
23.10694456,AA,PV,-3896611072.0000,-4052742144.0000,0.14797807,-0.2935,0.00415427
23.10694456,AX,PV,-3897412864.0000,-4051111936.0000,0.13922163,18.9869,0.04268110
23.10972261,AA,AX,801734.2500,-1630002.3750,1.11440809,0.7095,0.01862595
23.11805534,AA,AX,801522.0625,-1629625.5000,1.11342738,0.6051,0.01967095
23.12083340,AA,AX,801450.9375,-1629500.6250,1.11490729,-0.0848,0.01629063
23.12083340,AA,PV,-3902110464.0000,-4055792896.0000,0.17123910,1.1665,0.00511336
23.12083340,AX,PV,-3902912000.0000,-4054163456.0000,0.17321136,14.6097,0.03400100
23.12361145,AA,PV,-3903211520.0000,-4056407808.0000,0.17184425,-1.5233,0.00465307
23.12361145,AA,AX,801379.0625,-1629375.2500,1.11700041,-0.3768,0.01333939
23.12361145,AX,PV,-3904001792.0000,-4054772224.0000,0.16985515,6.3948,0.03186759
23.12638950,AA,AX,801306.6875,-1629249.8750,1.11682249,-0.2727,0.01375561
23.12638950,AA,PV,-3904295680.0000,-4057014528.0000,0.19569922,-0.6610,0.00529128
23.12638950,AX,PV,-3905096960.0000,-4055385344.0000,0.20399630,-3.2034,0.02774165
23.12916613,AA,AX,801233.9375,-1629124.5000,1.11984310,-0.1289,0.01107251
23.12916613,AA,PV,-3905385216.0000,-4057625600.0000,0.15509457,-0.2002,0.00307549
23.12916613,AX,PV,-3906186496.0000,-4055996416.0000,0.14867478,-1.0469,0.03841636
23.13194418,AA,AX,801160.7500,-1628999.1250,1.11929254,0.0153,0.01212300
23.13194418,AA,PV,-3906472704.0000,-4058236672.0000,0.18065402,-0.1301,0.00378684
23.13194418,AX,PV,-3907273984.0000,-4056607744.0000,0.17357155,-0.9582,0.03415807
23.18472290,AA,AX,799689.4375,-1626619.3750,1.11887681,0.4739,0.01045570
23.18749952,AA,AX,799607.7500,-1626494.2500,1.11883670,0.0771,0.01084627
23.18749952,AA,PV,-3927784704.0000,-4070495744.0000,0.16489265,0.3526,0.00311632
23.18749952,AX,PV,-3928584192.0000,-4068869120.0000,0.15975054,-2.0788,0.03709562
23.19027758,AA,AX,799525.6250,-1626369.1250,1.11834037,-0.0878,0.01067926
23.19027758,AX,PV,-3929627904.0000,-4069484032.0000,0.17845130,3.6970,0.03063666
23.19305563,AA,AX,799443.0625,-1626244.0000,1.11897634,-0.1179,0.01030207
23.19583368,AA,AX,799360.1250,-1626119.0000,1.11845898,0.4805,0.01191320
23.19583368,AA,PV,-3930909440.0000,-4072340224.0000,0.15738343,-0.5805,0.00332268
23.19583368,AX,PV,-3931708928.0000,-4070714112.0000,0.15490198,-12.3130,0.03820643
23.19861174,AA,PV,-3931986432.0000,-4072978944.0000,0.16507618,0.3219,0.00482902
23.19861174,AX,PV,-3932746240.0000,-4071329536.0000,0.17005342,-9.8566,0.03384613
23.20138836,AA,PV,-3933031168.0000,-4073599744.0000,0.14488553,0.6191,0.00343532
23.20138836,AA,AX,799192.8750,-1625868.7500,1.11914307,0.4067,0.01107805
23.20138836,AX,PV,-3933781504.0000,-4071944960.0000,0.14409727,-27.0897,0.03667579
23.20416641,AA,AX,799108.6875,-1625743.7500,1.11928429,-0.6440,0.01130886
23.20416641,AA,PV,-3934015488.0000,-4074186240.0000,0.16990096,-0.1473,0.00374402
23.20416641,AX,PV,-3934804224.0000,-4072554496.0000,0.16794026,-11.1487,0.03284498
23.20694447,AA,AX,799024.0000,-1625618.7500,1.11970972,-0.0362,0.01109877
23.20694447,AA,PV,-3935046656.0000,-4074801920.0000,0.15520822,-0.1097,0.00328783
23.20694447,AX,PV,-3935845632.0000,-4073176320.0000,0.14691662,-13.0645,0.03596371
23.20972252,AA,PV,-3936075776.0000,-4075417856.0000,0.15200519,0.0424,0.00406602
23.20972252,AX,PV,-3936874752.0000,-4073792256.0000,0.14937020,1.1688,0.03636386
23.21250057,AA,AX,798853.3750,-1625368.7500,1.12078798,0.1888,0.01138214
23.21250057,AA,PV,-3937102592.0000,-4076033792.0000,0.16588946,0.1592,0.00367421
23.21250057,AX,PV,-3937901568.0000,-4074408448.0000,0.16114529,6.0103,0.03299894
23.21527719,AA,AX,798767.4375,-1625243.7500,1.11952045,-0.3040,0.01148025
23.21805525,AA,AX,798681.0625,-1625118.7500,1.11903582,0.8240,0.01152789
23.21805525,AA,PV,-3939150336.0000,-4077266176.0000,0.15810242,0.4450,0.00355992
23.21805525,AX,PV,-3939949056.0000,-4075641088.0000,0.15328947,17.5526,0.03449033
23.22083330,AA,AX,798594.2500,-1624993.7500,1.11969658,-0.1825,0.01109161
23.22083330,AA,PV,-3940171008.0000,-4077882624.0000,0.15501477,-0.1721,0.00347116
23.22083330,AX,PV,-3940969728.0000,-4076257792.0000,0.14566703,-23.6418,0.03403278
23.22361135,AA,AX,798507.0625,-1624868.7500,1.12056015,0.1957,0.01045305
23.22361135,AA,PV,-3941189632.0000,-4078499328.0000,0.16716523,0.2502,0.00326958
23.22361135,AX,PV,-3941971200.0000,-4076864256.0000,0.16046990,-16.0313,0.03475198
23.22638941,AA,AX,798419.3750,-1624743.8750,1.12061363,-0.4029,0.01015599
23.22638941,AA,PV,-3942206208.0000,-4079116032.0000,0.14827990,-0.5894,0.00283855
23.22638941,AX,PV,-3943008000.0000,-4077493504.0000,0.13639754,-3.8497,0.03893104
23.22916603,AA,AX,798331.3125,-1624618.8750,1.12063594,0.1110,0.01059161
23.22916603,AX,PV,-3944017152.0000,-4078107392.0000,0.17124316,-13.9218,0.03385729
23.23194408,AA,AX,798242.8750,-1624494.0000,1.12129789,0.3958,0.01072779
23.23472214,AA,AX,798153.9375,-1624369.1250,1.11887348,-0.3207,0.01356537
23.23472214,AA,PV,-3945243136.0000,-4080967424.0000,0.14502348,-0.0240,0.00383029
23.23472214,AX,PV,-3946041088.0000,-4079343104.0000,0.14193472,-2.8053,0.03806607
23.23750019,AA,AX,798064.5625,-1624244.2500,1.12045153,0.7080,0.01188013
23.23750019,AA,PV,-3946251264.0000,-4081584896.0000,0.15254264,-0.0728,0.00348679
23.23750019,AX,PV,-3947049216.0000,-4079960576.0000,0.13480881,-8.2535,0.03671564
23.24027824,AA,PV,-3947257088.0000,-4082202368.0000,0.14519727,0.1979,0.00346256
23.24027824,AX,PV,-3948049920.0000,-4080574976.0000,0.13404241,14.6576,0.03920082
23.24305487,AA,AX,797884.6250,-1623994.5000,1.12101241,-0.1685,0.01230944
23.24305487,AA,PV,-3948261120.0000,-4082820096.0000,0.17080621,-0.2755,0.00386624
23.24305487,AX,PV,-3949059072.0000,-4081196032.0000,0.16362699,16.0321,0.03449250
23.24583292,AA,AX,797794.0000,-1623869.6250,1.11958073,-0.7993,0.01328815
23.24861097,AA,PV,-3950262528.0000,-4084056064.0000,0.16229155,-0.9368,0.00324479
23.24861097,AX,PV,-3951060224.0000,-4082432256.0000,0.15036121,13.5804,0.03563967
23.25138903,AA,PV,-3951251968.0000,-4084669184.0000,0.16149248,0.7800,0.00304277
23.25138903,AX,PV,-3952057856.0000,-4083050752.0000,0.14881403,1.7098,0.03713717
23.25416708,AA,AX,797519.6250,-1623495.2500,1.12178102,0.4712,0.00999174
23.25416708,AA,PV,-3952255744.0000,-4085292544.0000,0.14329485,0.2460,0.00267249
23.25416708,AX,PV,-3953054976.0000,-4083670016.0000,0.12499573,-0.1159,0.04177676
23.25694513,AA,AX,797427.3125,-1623370.3750,1.12079376,-0.2688,0.01069729
23.25972176,AA,PV,-3954240512.0000,-4086529792.0000,0.18201712,0.2954,0.00461647
23.26249981,AA,AX,797241.4375,-1623120.8750,1.12113214,0.2030,0.01027213
23.26249981,AA,PV,-3955229696.0000,-4087148544.0000,0.15959860,0.1786,0.00348610
23.26249981,AX,PV,-3956026880.0000,-4085525504.0000,0.15129050,-4.1132,0.03239564
23.26527786,AA,AX,797147.8750,-1622996.1250,1.12035557,-0.7135,0.01097699
23.26527786,AA,PV,-3956216832.0000,-4087767552.0000,0.16103340,-0.2443,0.00356873
23.26527786,AX,PV,-3957026048.0000,-4086152192.0000,0.15605688,-4.3054,0.03525913
23.54583263,AA,PV,-4044993024.0000,-4151022336.0000,0.14149444,-0.6195,0.00305395
23.54861069,AA,PV,-4045763072.0000,-4151655424.0000,0.14438376,0.5309,0.00310223
23.55138874,AA,AX,785248.7500,-1610238.1250,1.11953310,-0.2370,0.00966673
23.55138874,AA,PV,-4046531072.0000,-4152288512.0000,0.15780743,-0.8809,0.00320856
23.55138874,AX,PV,-4047316224.0000,-4150678272.0000,0.15448253,5.7822,0.03314455
23.55416679,AA,AX,785111.4375,-1610115.3750,1.11958324,0.7603,0.01003113
23.55416679,AA,PV,-4047296768.0000,-4152921856.0000,0.15160009,0.5477,0.00364585
23.55416679,AX,PV,-4048070400.0000,-4151302144.0000,0.15146839,-7.3429,0.03081841
23.55694485,AA,AX,784973.6250,-1609992.5000,1.11900856,-0.5765,0.01025054
23.55972290,AA,AX,784835.4375,-1609869.6250,1.11808507,0.0306,0.01179517
23.55972290,AA,PV,-4048821760.0000,-4154188800.0000,0.15993320,-1.0358,0.00362550
23.55972290,AX,PV,-4049606656.0000,-4152578816.0000,0.15588246,-32.6859,0.03553003
23.56249952,AA,AX,784696.8125,-1609746.8750,1.11927672,0.5293,0.01003114
23.56249952,AA,PV,-4049581056.0000,-4154822400.0000,0.13542368,-0.1301,0.00295240
23.56249952,AX,PV,-4050365696.0000,-4153212416.0000,0.12739077,-5.7993,0.03701482
23.56527758,AA,AX,784557.8125,-1609624.1250,1.11910578,-0.3661,0.00996023
23.56805563,AA,PV,-4051092992.0000,-4156089856.0000,0.15395978,0.3704,0.00319513
23.56805563,AX,PV,-4051888640.0000,-4154489856.0000,0.15337099,-10.1607,0.03159019
23.57083368,AA,PV,-4051832064.0000,-4156712192.0000,0.14898767,-0.2971,0.00333825
23.57083368,AA,AX,784278.5000,-1609378.6250,1.11943080,-0.5156,0.00998190
23.57083368,AX,PV,-4052642560.0000,-4155124992.0000,0.14359132,4.1862,0.03369434
23.57361174,AA,AX,784138.2500,-1609255.8750,1.11843841,0.3101,0.01050450
23.57361174,AA,PV,-4052596480.0000,-4157357824.0000,0.14455736,-0.0111,0.00301419
23.57361174,AX,PV,-4053374464.0000,-4155743232.0000,0.13830694,6.6377,0.03836877
23.57638836,AA,AX,783997.5625,-1609133.2500,1.11872810,0.2793,0.00964193
23.57916641,AA,PV,-4054091264.0000,-4158626304.0000,0.15497092,0.2803,0.00316288
23.57916641,AX,PV,-4054875136.0000,-4157017344.0000,0.15024688,-16.4714,0.03624719
23.58194447,AA,AX,783714.8750,-1608887.8750,1.11875660,0.1438,0.00946908
23.58194447,AX,PV,-4055622912.0000,-4157655040.0000,0.17056760,-17.6009,0.03316214
23.58472252,AA,PV,-4055561984.0000,-4159882240.0000,0.15718468,1.1905,0.00348129
23.58472252,AX,PV,-4056366080.0000,-4158290944.0000,0.15926515,9.1003,0.03415536
23.58750057,AA,AX,783430.5625,-1608642.6250,1.11926929,0.8165,0.00865742
23.58750057,AA,PV,-4056317440.0000,-4160529920.0000,0.14983282,-1.0867,0.00265233
23.58750057,AX,PV,-4057094656.0000,-4158916096.0000,0.13599362,-8.8750,0.03598470
23.59027719,AA,AX,783287.8125,-1608520.1250,1.11933081,0.1251,0.00880749
23.59027719,AA,PV,-4057054976.0000,-4161164800.0000,0.14376834,-0.5198,0.00264778
23.59027719,AX,PV,-4057838336.0000,-4159556352.0000,0.13351676,-3.6107,0.03595066
23.59305525,AA,AX,783144.6250,-1608397.5000,1.11910556,-0.2919,0.00920699
23.59305525,AX,PV,-4058573824.0000,-4160191232.0000,0.11835732,-24.8265,0.03943335
23.59583330,AA,AX,783001.0000,-1608275.0000,1.11959975,0.1617,0.00878764
23.59583330,AA,PV,-4058523904.0000,-4162434816.0000,0.14499476,-0.5205,0.00260025
23.59583330,AX,PV,-4059307008.0000,-4160826368.0000,0.14748776,-5.0400,0.03657094
23.59861135,AA,AX,782857.0000,-1608152.5000,1.11900110,-0.0498,0.00931432
23.59861135,AA,PV,-4059255296.0000,-4163069952.0000,0.14006793,-0.3182,0.00280557
23.59861135,AX,PV,-4060051456.0000,-4161473280.0000,0.11456172,-5.4207,0.03668957
23.60138941,AA,AX,782712.5625,-1608030.0000,1.11973599,0.1407,0.00889075
23.60138941,AX,PV,-4060766976.0000,-4162097152.0000,0.11358060,3.0232,0.04170842
23.60416603,AA,AX,782567.6875,-1607907.5000,1.11938991,-0.1928,0.00930178
23.60416603,AA,PV,-4060711168.0000,-4164340480.0000,0.13722388,0.2602,0.00273199
23.60416603,AX,PV,-4061493760.0000,-4162732544.0000,0.12814565,-3.6245,0.03691215
23.60694408,AA,PV,-4061436160.0000,-4164975872.0000,0.14774501,0.1315,0.00311766
23.60694408,AX,PV,-4062229248.0000,-4163377664.0000,0.13058566,-4.1796,0.03107580
23.60972214,AA,AX,782276.6875,-1607662.6250,1.11972056,0.3353,0.00926756
23.61250019,AA,PV,-4062878976.0000,-4166247168.0000,0.13931937,0.2368,0.00270784
23.61250019,AX,PV,-4063661056.0000,-4164639744.0000,0.12983958,-10.9768,0.03525285
23.61527824,AA,AX,781984.0625,-1607417.8750,1.11998063,0.3327,0.00887158
23.61527824,AA,PV,-4063597312.0000,-4166883072.0000,0.13329012,-0.1203,0.00259622
23.61527824,AX,PV,-4064379392.0000,-4165275648.0000,0.12373989,-6.1178,0.03713254
23.66805553,AA,PV,-4076833536.0000,-4178984192.0000,0.12464439,-0.0500,0.00257600
23.66805553,AX,PV,-4077612800.0000,-4177379072.0000,0.12014753,-5.4836,0.03236699
23.67083359,AA,AX,778966.3750,-1604975.3750,1.12078679,-0.2810,0.00705143
23.67083359,AA,PV,-4077508608.0000,-4179622144.0000,0.13547112,-0.4755,0.00270332
23.67083359,AX,PV,-4078287616.0000,-4178017280.0000,0.13539837,2.4567,0.02869688
23.67361164,AA,AX,778811.1250,-1604853.5000,1.12055073,0.2546,0.00712894
23.67361164,AA,PV,-4078181376.0000,-4180260352.0000,0.13747907,-0.5973,0.00252175
23.67361164,AX,PV,-4078954752.0000,-4178650112.0000,0.13438402,-23.7672,0.03175987
23.67638826,AA,AX,778655.5000,-1604731.6250,1.12079130,0.2347,0.00699921
23.67638826,AX,PV,-4079630848.0000,-4179293696.0000,0.11982830,-14.7658,0.03341808
23.67916632,AA,AX,778499.4375,-1604609.7500,1.12097891,-0.2488,0.00715130
23.67916632,AA,PV,-4079520512.0000,-4181536768.0000,0.14197961,0.1452,0.00249392
23.67916632,AX,PV,-4080286976.0000,-4179920384.0000,0.14352816,-18.9363,0.03226356
23.68194437,AA,AX,778342.9375,-1604488.0000,1.12123502,-0.1025,0.00735739
23.68194437,AA,PV,-4080186880.0000,-4182175232.0000,0.16653134,-0.5025,0.00313775
23.68194437,AX,PV,-4080975104.0000,-4180580352.0000,0.17144649,-2.1615,0.02639945
23.68472242,AA,AX,778186.0625,-1604366.2500,1.12149632,-0.4110,0.00734918
23.68472242,AA,PV,-4080851200.0000,-4182813696.0000,0.14827933,-0.2091,0.00289289
23.68472242,AX,PV,-4081629184.0000,-4181209344.0000,0.14332022,-1.4418,0.02804008
23.68750048,AA,AX,778028.7500,-1604244.3750,1.12152569,0.0156,0.00777056
23.68750048,AA,PV,-4081512960.0000,-4183452160.0000,0.16129318,-0.2834,0.00325625
23.68750048,AX,PV,-4082290944.0000,-4181848064.0000,0.15671182,0.0751,0.02635627
23.69027710,AA,PV,-4082172928.0000,-4184090880.0000,0.16292470,0.8578,0.00311341
23.69027710,AX,PV,-4082950656.0000,-4182486784.0000,0.16389440,3.4397,0.02717086
23.69305515,AA,AX,777712.8750,-1604001.0000,1.12116042,-0.1478,0.00831264
23.69305515,AA,PV,-4082830592.0000,-4184729856.0000,0.17364427,-0.7704,0.00344912
23.69305515,AX,PV,-4083608064.0000,-4183125760.0000,0.17501282,2.6868,0.02664956
23.69583321,AA,PV,-4083485952.0000,-4185368576.0000,0.16675892,-0.6192,0.00312231
23.69583321,AX,PV,-4084263424.0000,-4183764736.0000,0.16520277,6.8333,0.02558816
23.69861126,AA,PV,-4084139264.0000,-4186007808.0000,0.15622426,0.1521,0.00300242
23.69861126,AX,PV,-4084916480.0000,-4184403968.0000,0.15150336,4.5244,0.02748984
23.70138931,AA,AX,777236.0000,-1603636.0000,1.12087122,0.2035,0.00775551
23.70138931,AA,PV,-4084790272.0000,-4186646784.0000,0.18048559,-0.0622,0.00334178
23.70138931,AX,PV,-4085567488.0000,-4185043200.0000,0.18096669,1.1189,0.02571019
23.70416737,AA,AX,777076.1875,-1603514.3750,1.12077563,-0.1482,0.00777577
23.70416737,AA,PV,-4085439232.0000,-4187286016.0000,0.13845459,0.0031,0.00268642
23.70416737,AX,PV,-4086216448.0000,-4185682432.0000,0.13268033,-6.2406,0.03208567
23.70694399,AA,AX,776916.0000,-1603392.8750,1.12094473,-0.0744,0.00735645
23.70694399,AA,PV,-4086086144.0000,-4187925504.0000,0.16601570,-0.1926,0.00342965
23.70694399,AX,PV,-4086863104.0000,-4186321920.0000,0.16895805,-9.5943,0.02379228
23.70972204,AA,AX,776755.3750,-1603271.2500,1.12044585,-0.3691,0.00744103
23.70972204,AA,PV,-4086730752.0000,-4188564736.0000,0.12802269,0.3514,0.00271829
23.70972204,AX,PV,-4087507456.0000,-4186961664.0000,0.12687766,-19.0713,0.03042948
23.71250010,AA,AX,776594.3125,-1603149.7500,1.12009801,-0.3162,0.00800494
23.71250010,AA,PV,-4087373056.0000,-4189204480.0000,0.11843420,0.5031,0.00294667
23.71250010,AX,PV,-4088141056.0000,-4187592704.0000,0.11812050,11.3365,0.03095881
23.71527815,AA,AX,776432.8750,-1603028.2500,1.12041663,0.1055,0.00760346
23.71805620,AA,AX,776271.0625,-1602906.7500,1.11981032,-0.1560,0.00809794
23.71805620,AA,PV,-4088651520.0000,-4190483712.0000,0.14035030,0.4890,0.00308825
23.71805620,AX,PV,-4089427712.0000,-4188880896.0000,0.13658723,0.0377,0.02953241
23.72083282,AA,AX,776109.8750,-1602786.1250,1.11980195,-0.0974,0.00835019
23.72083282,AA,PV,-4089287424.0000,-4191123456.0000,0.15526766,-0.1385,0.00321012
23.72083282,AX,PV,-4090063360.0000,-4189520640.0000,0.15546235,-3.9883,0.02882810
23.72361088,AA,PV,-4089921024.0000,-4191763456.0000,0.14334031,0.8041,0.00331322
23.72361088,AX,PV,-4090696960.0000,-4190160896.0000,0.14446053,-0.0054,0.03064213
23.72638893,AA,AX,775783.0000,-1602542.5000,1.12037800,0.1443,0.00779431
23.72638893,AA,PV,-4090552576.0000,-4192403456.0000,0.11993770,0.0399,0.00240550
23.72638893,AX,PV,-4091324160.0000,-4190796800.0000,0.10911773,-3.3249,0.03774286
23.72916698,AA,AX,775619.5000,-1602421.1250,1.12015449,0.1087,0.00787940
23.72916698,AA,PV,-4091182080.0000,-4193043712.0000,0.12807378,0.5649,0.00278388
23.72916698,AX,PV,-4091957760.0000,-4191441152.0000,0.12156783,-2.9651,0.03243120
