#SRC:M87,DATE(MJD):58230,FREQ:213.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.17638889,AA,AX,738369.9375,-1580470.5000,1.12090879,1.9203,0.02225300
00.18472223,AA,AX,737758.6250,-1580174.8750,1.12129689,0.0702,0.00611610
00.18750000,AA,AX,737519.1250,-1580059.3750,1.12133071,-0.1393,0.00616175
00.19027779,AA,AX,737279.1875,-1579944.0000,1.12120978,0.2525,0.00626515
00.19305555,AA,AX,737038.8750,-1579828.6250,1.12111029,0.4665,0.00637933
00.19583333,AA,AX,736798.2500,-1579713.3750,1.12019015,-0.0533,0.00699152
00.19861112,AA,AX,736557.1250,-1579598.1250,1.12062382,0.2919,0.00677302
00.20138888,AA,AX,736315.6875,-1579482.8750,1.12120931,0.1839,0.00650452
00.20416667,AA,AX,736073.8125,-1579367.6250,1.12129417,0.1380,0.00669021
00.20694445,AA,AX,735831.5625,-1579252.5000,1.11938119,-0.1587,0.00840484
00.20972221,AA,AX,735588.9375,-1579137.3750,1.11928810,0.2277,0.00894880
00.21250000,AA,AX,735346.6875,-1579022.6250,1.11708810,-0.2499,0.01145874
00.21527778,AA,AX,735102.5000,-1578907.2500,1.11899817,0.1673,0.00994248
00.21805555,AA,AX,734858.6875,-1578792.2500,1.11942909,0.1235,0.00997067
00.22361112,AA,AX,734325.8125,-1578541.6250,1.12155197,-0.4339,0.00991562
00.22638888,AA,AX,734124.8750,-1578447.3750,1.11983096,-0.7566,0.00901968
00.22916666,AA,AX,733879.5000,-1578332.6250,1.12111295,-0.3071,0.00787177
00.23472221,AA,AX,733387.5625,-1578103.0000,1.11896835,-0.8342,0.00899800
00.23750000,AA,AX,733141.0000,-1577988.2500,1.11814705,-0.5652,0.00961067
00.24027778,AA,AX,732894.1250,-1577873.5000,1.11718673,0.1201,0.00984735
00.24305554,AA,AX,732644.1875,-1577757.7500,1.11665784,-0.6928,0.01142122
00.24583333,AA,AX,732399.0625,-1577644.2500,1.11892980,0.1575,0.00769203
00.24861111,AA,AX,732150.9375,-1577529.6250,1.12020063,-0.1869,0.00678312
00.47083332,AA,AX,710980.1250,-1568465.0000,1.12107408,-0.0589,0.00833795
00.47361110,AA,AX,710773.5000,-1568382.7500,1.12084866,-0.1059,0.00589825
00.47638889,AA,AX,710493.9375,-1568271.5000,1.12111341,0.4365,0.00576316
00.47916667,AA,AX,710208.8125,-1568158.3750,1.12121730,-0.0176,0.00580426
00.48194446,AA,AX,709937.8125,-1568051.0000,1.12091524,0.0199,0.00592435
00.48472224,AA,AX,709647.7500,-1567936.1250,1.12097497,-0.2866,0.00577637
00.48749998,AA,AX,709371.8750,-1567827.2500,1.12083784,-0.3498,0.00569221
00.49027777,AA,AX,709090.3750,-1567716.2500,1.12138352,-0.2094,0.00547883
00.49305555,AA,AX,708808.5625,-1567605.2500,1.12128010,-0.2578,0.00545524
00.49583334,AA,AX,708526.3125,-1567494.3750,1.12146074,-0.1896,0.00547117
00.49861112,AA,AX,708243.7500,-1567383.5000,1.12148900,-0.1663,0.00550352
00.50416665,AA,AX,707677.4375,-1567162.0000,1.12134740,-0.2418,0.00556257
