#SRC:M87,DATE(MJD):58230,FREQ:227.1GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
00.18472223,AA,AX,785585.8750,-1687915.7500,1.10011872,-0.1991,0.00568283
00.18750000,AA,AX,785337.1250,-1687791.3750,1.09987088,-0.8663,0.00582147
00.19027779,AA,AX,785087.8750,-1687667.1250,1.09989076,-0.2039,0.00587203
00.19305555,AA,AX,784838.2500,-1687542.8750,1.09970339,0.0210,0.00602288
00.19583333,AA,AX,784588.1875,-1687418.6250,1.09897272,-0.4902,0.00648613
00.19861112,AA,AX,784337.6250,-1687294.3750,1.09989253,-0.4676,0.00633602
00.20138888,AA,AX,784086.6875,-1687170.2500,1.09990172,-0.9071,0.00611834
00.20416667,AA,AX,783835.2500,-1687046.1250,1.09979556,-0.2896,0.00629386
00.20972221,AA,AX,783331.2500,-1686798.1250,1.09908292,-1.8669,0.00852029
00.21250000,AA,AX,782982.4375,-1686627.1250,1.09871436,1.4707,0.01674064
00.21527778,AA,AX,782825.5000,-1686550.2500,1.09751662,0.9047,0.00965361
00.21805555,AA,AX,782571.9375,-1686426.3750,1.09758395,-0.2769,0.01011733
00.22361112,AA,AX,782000.8125,-1686148.2500,1.09919608,0.4971,0.01151999
00.22638888,AA,AX,781808.8125,-1686055.0000,1.09819954,-0.4455,0.00850322
00.22916666,AA,AX,781543.9375,-1685926.6250,1.09831767,-1.5415,0.00913288
00.23472221,AA,AX,781041.8125,-1685684.1250,1.09622755,-0.1563,0.00881122
00.24027778,AA,AX,780559.1875,-1685451.8750,1.09532458,0.6424,0.01027485
00.24305554,AA,AX,780183.3750,-1685271.6250,1.09834614,1.7328,0.01213233
00.24583333,AA,AX,780013.1875,-1685190.2500,1.09740555,-0.2297,0.00734521
00.24861111,AA,AX,779754.9375,-1685066.8750,1.09892439,0.0370,0.00646643
00.25138888,AA,AX,779620.5000,-1685002.7500,1.09937443,0.9923,0.03053537
00.47083332,AA,AX,757648.8125,-1675317.5000,1.09979400,-1.0600,0.00801594
00.47361110,AA,AX,757452.6875,-1675237.3750,1.09972708,0.8233,0.00632239
00.47638889,AA,AX,757150.6875,-1675114.1250,1.09991025,0.2640,0.00537709
00.47916667,AA,AX,756860.4375,-1674995.8750,1.09985633,-1.1075,0.00640771
00.48194446,AA,AX,756562.5000,-1674874.7500,1.09982183,0.3270,0.00606026
00.48472224,AA,AX,756257.1875,-1674750.7500,1.09988224,-0.0262,0.00572372
00.48749998,AA,AX,755965.7500,-1674632.6250,1.09971711,-0.7985,0.00604937
00.49583334,AA,AX,755081.2500,-1674275.6250,1.09996912,-0.0515,0.00515195
00.49861112,AA,AX,754788.5625,-1674157.7500,1.09999940,0.7410,0.00564784
00.50138891,AA,AX,754482.1875,-1674034.7500,1.10020294,-0.1169,0.00572789
00.50416665,AA,AX,754188.3125,-1673917.0000,1.10004735,0.6181,0.00556877
00.50694443,AA,AX,753933.8125,-1673815.2500,1.09979542,-0.2703,0.00635390
00.51250000,AA,AX,753298.8125,-1673561.7500,1.09989728,0.4055,0.00558129
00.51527779,AA,AX,753015.2500,-1673448.8750,1.10014274,-0.9721,0.00530709
00.51805557,AA,AX,752707.6875,-1673326.7500,1.10014073,-0.2435,0.00552726
00.52083331,AA,AX,752374.1250,-1673194.5000,1.10012504,-0.7974,0.00629548
00.52638888,AA,AX,751809.0000,-1672971.0000,1.10001279,-0.1887,0.00501432
00.52916667,AA,AX,751508.6250,-1672852.5000,1.10006310,-0.2601,0.00499136
00.53194445,AA,AX,751207.8750,-1672734.1250,1.10002091,0.1442,0.00498814
00.53472224,AA,AX,750906.1250,-1672615.5000,1.10009526,-0.7211,0.00529147
00.53749998,AA,AX,750629.2500,-1672506.8750,1.10002511,-1.5977,0.00573939
00.54305555,AA,AX,750003.6875,-1672262.1250,1.10007475,-0.8958,0.00511713
00.54861112,AA,AX,749399.8750,-1672026.7500,1.09987985,-0.6879,0.00533962
00.55138890,AA,AX,749108.2500,-1671913.3750,1.09979777,-0.5092,0.00601040
00.55416664,AA,AX,748744.3125,-1671772.1250,1.09984876,-1.6354,0.00760576
00.55694443,AA,AX,748438.9375,-1671653.7500,1.10032225,-2.5483,0.00682555
00.55972221,AA,AX,748180.8125,-1671554.0000,1.10014541,-0.0571,0.00549643
00.56250000,AA,AX,747872.3750,-1671434.8750,1.09999336,-0.0602,0.00535803
00.56527779,AA,AX,747619.6875,-1671337.5000,1.09998491,0.1198,0.00686559
00.56805557,AA,AX,747250.6250,-1671195.5000,1.10022809,0.3438,0.00546155
00.57083336,AA,AX,746949.9375,-1671080.0000,1.10000622,-0.3983,0.00535543
00.57361110,AA,AX,746649.3125,-1670964.7500,1.09983806,0.1948,0.00519894
00.57916667,AA,AX,746032.3125,-1670728.8750,1.09979162,-0.2131,0.00506502
00.58194445,AA,AX,745734.8125,-1670615.3750,1.09962474,0.4764,0.00676978
00.58472224,AA,AX,745563.8750,-1670550.2500,1.09978000,-0.8353,0.02516679
00.63472223,AA,AX,739797.0000,-1668390.0000,1.09983214,-1.2835,0.00565991
00.64027776,AA,AX,739135.8125,-1668146.6250,1.09975531,-0.9634,0.00569482
00.64305554,AA,AX,738866.2500,-1668047.7500,1.09989045,-1.7110,0.00574815
00.64861111,AA,AX,738209.1250,-1667807.1250,1.09996969,0.9448,0.00502219
00.65138890,AA,AX,737899.1250,-1667693.8750,1.10022731,-1.1582,0.00525001
00.65416668,AA,AX,737581.8750,-1667578.2500,1.10021735,0.9613,0.00525168
00.65694442,AA,AX,737253.5000,-1667458.7500,1.10003927,-0.6589,0.00504142
00.65972221,AA,AX,736941.7500,-1667345.3750,1.10001849,-0.3883,0.00539532
00.66249999,AA,AX,736608.5625,-1667224.6250,1.10026867,0.0684,0.00509822
00.66527778,AA,AX,736291.9375,-1667110.0000,1.10030102,1.0889,0.00536238
00.66805556,AA,AX,735973.7500,-1666995.0000,1.10044550,-0.9615,0.00502700
00.67083335,AA,AX,735645.1250,-1666876.3750,1.10048029,0.7645,0.00566263
00.67361109,AA,AX,735331.4375,-1666763.3750,1.10022629,-0.4969,0.00524410
00.67638887,AA,AX,735003.3125,-1666645.3750,1.10042329,0.1055,0.00531045
00.67916666,AA,AX,734687.6250,-1666532.0000,1.10030992,-1.2031,0.00521619
00.68194444,AA,AX,734371.8125,-1666418.8750,1.10053670,1.5723,0.00550116
00.68472223,AA,AX,734017.6250,-1666292.1250,1.10068156,-0.1414,0.00561746
00.68750001,AA,AX,733725.8125,-1666187.8750,1.10060096,-1.0846,0.00691372
00.69027780,AA,AX,733395.1250,-1666070.0000,1.10017702,-0.9943,0.00513989
00.69305554,AA,AX,733106.3125,-1665967.1250,1.09996748,0.0052,0.00614535
00.69583333,AA,AX,732659.2500,-1665808.2500,1.10054732,-1.6178,0.01000595
00.70138890,AA,AX,732005.1250,-1665576.5000,1.09984569,-0.7019,0.00795868
00.70416668,AA,AX,731775.5000,-1665495.2500,1.09946896,0.5610,0.00556566
00.70694447,AA,AX,731442.6875,-1665377.7500,1.09987697,-0.3465,0.00560265
00.70972221,AA,AX,731121.2500,-1665264.5000,1.09979738,1.1808,0.00534228
00.71249999,AA,AX,730795.4375,-1665149.8750,1.09996222,-0.5940,0.00523231
00.71527778,AA,AX,730464.8750,-1665033.7500,1.09980401,1.0471,0.00523702
00.71805556,AA,AX,730121.0625,-1664913.2500,1.10006457,-0.0561,0.00562355
00.72083335,AA,AX,729814.9375,-1664806.1250,1.10006078,-0.1899,0.00553940
00.72361113,AA,AX,729484.5625,-1664690.6250,1.09999640,-0.6338,0.00618171
00.72638887,AA,AX,729161.6250,-1664578.0000,1.09964654,0.7217,0.00526923
00.72916666,AA,AX,728822.8125,-1664460.0000,1.09965169,-0.1161,0.00566350
00.73194444,AA,AX,728490.1250,-1664344.2500,1.10016387,-0.1875,0.00529281
00.73472223,AA,AX,728320.3125,-1664285.2500,1.09992153,0.0781,0.02545707
00.88749996,AA,AX,709303.1250,-1657981.1250,1.10046590,1.0346,0.00740911
00.89027774,AA,AX,709065.2500,-1657905.7500,1.10040172,0.7480,0.00525591
00.89583331,AA,AX,708346.8125,-1657678.7500,1.10033793,-0.1760,0.00484209
00.89861110,AA,AX,708018.4375,-1657575.2500,1.09998557,0.2291,0.00521116
00.90138888,AA,AX,707645.8750,-1657458.0000,1.10015882,-0.9415,0.00483947
00.90416667,AA,AX,707295.6875,-1657347.8750,1.09975372,0.3762,0.00510282
00.90694445,AA,AX,706938.1250,-1657235.7500,1.10003314,-0.4910,0.00491394
00.90972224,AA,AX,706591.3750,-1657127.1250,1.09977487,0.9737,0.00538308
00.91250002,AA,AX,706228.8125,-1657013.7500,1.10011112,-0.3416,0.00488525
00.91527781,AA,AX,705871.8125,-1656902.2500,1.10011300,1.0208,0.00506549
00.91805559,AA,AX,705557.6875,-1656804.3750,1.10002610,-0.4664,0.00577164
00.92638886,AA,AX,704434.6250,-1656455.3750,1.09961020,0.5026,0.00561546
00.92916664,AA,AX,704091.8125,-1656349.1250,1.09968858,-0.4119,0.00539785
00.93750000,AA,AX,702993.8125,-1656010.1250,1.10049235,-1.0116,0.00563999
00.94305557,AA,AX,702339.1250,-1655808.7500,1.09973321,-0.8738,0.00655903
00.94583336,AA,AX,701853.0000,-1655659.6250,1.10051967,-2.1127,0.00944369
00.94861114,AA,AX,701581.3750,-1655576.5000,1.09920713,1.0072,0.00562077
00.95138893,AA,AX,701180.8125,-1655454.0000,1.09945948,0.2059,0.00703699
00.95416671,AA,AX,700925.6250,-1655376.0000,1.09934205,0.1591,0.00687236
00.95694441,AA,AX,700427.5625,-1655224.1250,1.09975284,-0.6521,0.00676167
00.95972219,AA,AX,700138.5000,-1655136.2500,1.09949019,0.2203,0.00534849
00.96249998,AA,AX,699776.8750,-1655026.2500,1.10014946,-0.9773,0.00503926
00.96527776,AA,AX,699414.8125,-1654916.3750,1.09951014,1.9870,0.00529011
00.97638890,AA,AX,697965.4375,-1654478.3750,1.10029793,0.0013,0.00503466
00.97916669,AA,AX,697598.9375,-1654368.0000,1.09977652,0.0076,0.00501390
00.98194447,AA,AX,697234.6875,-1654258.5000,1.09967209,0.7089,0.00509837
00.98472226,AA,AX,697045.0625,-1654201.6250,1.09992126,1.5796,0.02572568
01.03472221,AA,AX,690146.7500,-1652161.5000,1.10023108,3.8031,0.01076662
01.03749999,AA,AX,689870.1250,-1652080.8750,1.10025648,-0.6486,0.00474268
01.04027778,AA,AX,689500.9375,-1651973.5000,1.10014927,0.0266,0.00535439
01.04305556,AA,AX,689125.5000,-1651864.3750,1.10011767,0.0646,0.00481235
01.04583335,AA,AX,688738.9375,-1651752.3750,1.10037973,0.3976,0.00501106
01.04861113,AA,AX,688390.1875,-1651651.3750,1.10063925,-0.3876,0.00500396
01.05138892,AA,AX,687987.3750,-1651534.8750,1.10052232,-0.4253,0.00510499
01.05972219,AA,AX,686891.6250,-1651219.1250,1.10003081,-0.7522,0.00571531
01.06249997,AA,AX,686512.5000,-1651110.1250,1.10040531,-0.5002,0.00511672
01.06527776,AA,AX,686130.1875,-1651000.5000,1.10041029,-1.0776,0.00495296
01.06805554,AA,AX,685756.1875,-1650893.3750,1.10016667,0.0648,0.00491474
01.07083333,AA,AX,685404.5000,-1650792.7500,1.10014261,-0.2573,0.00610952
01.07361111,AA,AX,685003.4375,-1650678.2500,1.10056763,0.6458,0.00465007
01.07638890,AA,AX,684608.0625,-1650565.6250,1.10022494,1.2237,0.00559822
01.07916668,AA,AX,684262.8125,-1650467.2500,1.10010194,0.1098,0.00520681
01.08194447,AA,AX,683834.0625,-1650345.5000,1.10031483,0.8764,0.00535969
01.08472225,AA,AX,683495.9375,-1650249.5000,1.10012130,0.4848,0.00480374
01.08750004,AA,AX,683092.2500,-1650135.1250,1.10037419,-0.2027,0.00511632
01.09027782,AA,AX,682736.1875,-1650034.5000,1.09994702,0.2975,0.00472086
01.09305552,AA,AX,682353.0625,-1649926.2500,1.10003660,0.9324,0.00489006
01.09583330,AA,AX,681981.5000,-1649821.3750,1.09983115,-0.6247,0.00549090
01.09861109,AA,AX,681597.6250,-1649713.2500,1.10019731,-0.0374,0.00466038
01.10138887,AA,AX,681211.0000,-1649604.6250,1.10016724,-0.4814,0.00481419
01.10416666,AA,AX,680842.6875,-1649501.2500,1.09984556,-0.0482,0.00512862
01.10694444,AA,AX,680457.6875,-1649393.2500,1.10014927,0.3856,0.00496218
01.10972223,AA,AX,680085.2500,-1649289.0000,1.09999752,1.0576,0.00520513
01.11250001,AA,AX,679682.6875,-1649176.5000,1.09993780,1.0308,0.00501058
01.11527780,AA,AX,679311.8750,-1649073.1250,1.09991841,-0.5925,0.00488089
01.11805558,AA,AX,678941.0625,-1648969.7500,1.09981852,-0.5284,0.00688640
01.12083337,AA,AX,678450.3125,-1648833.3750,1.09994304,0.2084,0.01038493
01.12361115,AA,AX,678162.1250,-1648753.2500,1.10009283,-1.3104,0.00476473
01.12638885,AA,AX,677768.5625,-1648644.1250,1.10014753,0.1777,0.00476564
01.13194442,AA,AX,677002.6875,-1648432.2500,1.09982299,0.1706,0.00477761
01.13472220,AA,AX,676810.4375,-1648379.1250,1.10004014,-0.0730,0.02320032
01.35138890,AA,MG,1853349504.0000,-4899542528.0000,0.17486608,-2.8341,0.00657896
01.35416669,AA,AX,645029.8750,-1640121.6250,1.10044566,1.5351,0.00673878
01.35416669,AA,MG,1855192192.0000,-4899247616.0000,0.22619455,-5.1521,0.00768080
01.35416669,AX,MG,1854629376.0000,-4897594368.0000,0.24723626,17.6817,0.06264538
