#SRC:M87,DATE(MJD):58232,FREQ:215.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
22.78472185,AX,PV,-3909374208.0000,-4075860224.0000,0.05415140,-143.3221,0.03405789
22.78749990,AX,PV,-3910533888.0000,-4076472064.0000,0.04852331,143.9561,0.03402343
22.79305601,AX,PV,-3912869632.0000,-4077708544.0000,0.06791372,158.5159,0.03470341
22.79861069,AX,PV,-3915150848.0000,-4078921216.0000,0.07475707,-167.8958,0.03390836
22.80416679,AX,PV,-3917429760.0000,-4080137728.0000,0.06369636,172.2365,0.03451217
22.80694485,AX,PV,-3918589696.0000,-4080758784.0000,0.08396867,-143.6714,0.03446297
22.81249952,AX,PV,-3920875264.0000,-4081986560.0000,0.07204936,-157.9685,0.03367226
22.81527758,AX,PV,-3922013952.0000,-4082600192.0000,0.06080706,-143.5622,0.03362532
22.81805563,AX,PV,-3923150336.0000,-4083214080.0000,0.03515212,-113.4421,0.03357817
22.82083368,AX,PV,-3924277248.0000,-4083823872.0000,0.07717562,-174.6188,0.03422188
22.82361174,AX,PV,-3925413376.0000,-4084440064.0000,0.09579613,-172.5095,0.03417305
22.82638836,AX,PV,-3926547456.0000,-4085056512.0000,0.06707369,-170.9391,0.03343684
22.82916641,AX,PV,-3927672064.0000,-4085668864.0000,0.08469098,165.8522,0.03407784
22.83750057,AX,PV,-3931068416.0000,-4087526912.0000,0.04403843,-179.2169,0.03393324
22.84027719,AX,PV,-3932167680.0000,-4088130816.0000,0.06020627,-141.9074,0.03320192
22.84305525,AX,PV,-3933296640.0000,-4088752128.0000,0.07939735,96.3254,0.03383797
22.84583330,AX,PV,-3934401280.0000,-4089361664.0000,0.05332498,-175.8958,0.03310784
22.84861135,AX,PV,-3935514624.0000,-4089977344.0000,0.08619091,-149.0733,0.03446714
22.85416603,AX,PV,-3937735680.0000,-4091209472.0000,0.07304023,-92.6937,0.03296502
22.85694408,AX,PV,-3938865152.0000,-4091837952.0000,0.06618318,-149.3849,0.03359797
22.85972214,AX,PV,-3939948032.0000,-4092442112.0000,0.04784373,-138.5196,0.03289349
22.86527824,AX,PV,-3942152192.0000,-4093675520.0000,0.05119864,-65.7041,0.03289286
23.26805592,AA,PV,-4078540032.0000,-4186386944.0000,0.13061031,0.5360,0.00368052
23.26805592,AA,AX,793664.4375,-1626300.6250,1.15050096,0.0961,0.01043119
23.26805592,AX,PV,-4079323136.0000,-4184752128.0000,0.12181128,7.2188,0.03266408
23.27083397,AA,AX,793529.0000,-1626176.5000,1.15046598,-0.2088,0.01059729
23.27083397,AA,PV,-4079329536.0000,-4187025152.0000,0.13819648,0.1373,0.00374999
23.27083397,AX,PV,-4080122880.0000,-4185399040.0000,0.14991163,-2.1474,0.03186104
23.27361059,AA,AX,793393.1250,-1626052.3750,1.15079044,-0.2554,0.01044797
23.27361059,AX,PV,-4080910080.0000,-4186037504.0000,0.15134487,-20.9238,0.03445815
23.27638865,AA,AX,793262.3750,-1625933.1250,1.14888139,-0.0424,0.01249718
23.27638865,AA,PV,-4080901888.0000,-4188302080.0000,0.11403246,-0.0106,0.00407759
23.27638865,AX,PV,-4081695232.0000,-4186676224.0000,0.12239461,-25.4519,0.03310296
23.27916670,AA,AX,793084.6250,-1625771.7500,1.14850846,-0.1204,0.01795759
23.27916670,AX,PV,-4082478080.0000,-4187314944.0000,0.11984655,-7.5117,0.03263478
23.28194475,AA,AX,792983.0625,-1625680.0000,1.14879465,-0.7182,0.01156444
23.28194475,AA,PV,-4082465792.0000,-4189579520.0000,0.11045750,-0.4764,0.00350246
23.28194475,AX,PV,-4083258624.0000,-4187953664.0000,0.14064956,4.3717,0.03699518
23.28472281,AA,PV,-4083244288.0000,-4190218240.0000,0.13653651,-0.4937,0.00399935
23.28472281,AA,AX,792845.5625,-1625555.8750,1.15005324,-0.2746,0.01050320
23.28472281,AX,PV,-4084037120.0000,-4188592896.0000,0.14349219,15.1445,0.02934546
23.28749943,AA,PV,-4084020736.0000,-4190857216.0000,0.12773691,0.3163,0.00374209
23.28749943,AA,AX,792707.5625,-1625431.8750,1.14922966,0.5555,0.01052407
23.28749943,AX,PV,-4084813568.0000,-4189231872.0000,0.13366265,-6.0082,0.03133969
23.29027748,AA,AX,792569.1875,-1625307.8750,1.15097375,-0.3951,0.00964199
23.29305553,AA,PV,-4085567232.0000,-4192135680.0000,0.11751645,0.8208,0.00329914
23.29305553,AA,AX,792430.4375,-1625183.7500,1.14943187,0.2875,0.01058754
23.29305553,AX,PV,-4086359552.0000,-4190510592.0000,0.14613106,5.4343,0.03556709
