#SRC:M87,DATE(MJD):58228,FREQ:215.071GHz
#time(UTC),T1,T2,U(lambda),V(lambda),Iamp(Jy),Iphase(d),Isigma(Jy)
23.06250000,AA,AX,810371.9375,-1647403.5000,1.12518790,0.2047,0.02731513
23.06250000,AA,PV,-3915554560.0000,-4081216000.0000,0.14999578,-0.8834,0.00786505
23.06527805,AA,AX,810335.0000,-1647329.8750,1.12346232,-0.2626,0.00994788
23.06805611,AA,AX,810274.1875,-1647209.3750,1.12235645,0.0927,0.02451207
23.06805611,AA,PV,-3917365760.0000,-4082184192.0000,0.16137927,1.1153,0.00390077
23.06805611,AX,PV,-3918051328.0000,-4080470272.0000,0.15765276,-8.3444,0.04327028
23.07083273,AA,AX,810206.6250,-1647076.3750,1.12041531,-0.5199,0.01539828
23.07083273,AA,PV,-3918509312.0000,-4082797312.0000,0.16001884,-0.4243,0.00490395
23.07083273,AX,PV,-3919319552.0000,-4081150208.0000,0.16124084,-5.0964,0.03350739
23.07361078,AA,AX,810141.8125,-1646949.6250,1.12143834,0.0207,0.01208579
23.07361078,AA,PV,-3919650816.0000,-4083410688.0000,0.14795351,-0.1558,0.00356624
23.07361078,AX,PV,-3920461056.0000,-4081763584.0000,0.13898081,13.7914,0.03618721
23.07638884,AA,AX,810078.1875,-1646826.0000,1.12142473,-0.9527,0.03900557
23.07916689,AA,AX,810010.8750,-1646696.1250,1.11827858,0.0778,0.01433033
23.07916689,AA,PV,-3921927680.0000,-4084637696.0000,0.16776790,0.2243,0.00519724
23.07916689,AX,PV,-3922737664.0000,-4082990848.0000,0.16772077,6.8605,0.02944290
23.08194494,AA,PV,-3923049728.0000,-4085244160.0000,0.16262211,-1.7113,0.00774346
23.08194494,AX,PV,-3923873024.0000,-4083604736.0000,0.17244949,-3.2699,0.02788975
23.08472157,AA,AX,809880.8750,-1646447.6250,1.11868141,-0.2695,0.03094595
23.08472157,AA,PV,-3924196096.0000,-4085865472.0000,0.17549114,-0.5969,0.00544668
23.08472157,AX,PV,-3924962816.0000,-4084195328.0000,0.17007075,-27.6359,0.04887019
23.08749962,AA,AX,809805.0625,-1646304.2500,1.11840923,0.5147,0.05773237
23.08749962,AA,PV,-3925327360.0000,-4086479616.0000,0.16488933,1.4517,0.00611380
23.08749962,AX,PV,-3926315008.0000,-4084930048.0000,0.14892487,30.7057,0.07500082
23.09027767,AA,AX,809744.3750,-1646190.2500,1.11496260,0.2139,0.02208700
23.09305573,AA,AX,809677.0625,-1646064.5000,1.11716507,0.8411,0.02061276
23.09305573,AA,PV,-3927583232.0000,-4087708416.0000,0.17670131,0.4658,0.00540558
23.09305573,AX,PV,-3928359168.0000,-4086043904.0000,0.18195688,-13.0685,0.03500677
23.09583378,AA,AX,809607.6875,-1645935.7500,1.11990589,0.0188,0.01344338
23.09583378,AA,PV,-3928708096.0000,-4088323072.0000,0.14574858,-0.1753,0.00405972
23.09583378,AX,PV,-3929517824.0000,-4086676992.0000,0.14345335,2.5826,0.03532321
23.09861040,AA,AX,809539.0000,-1645809.1250,1.12068336,0.1985,0.01240755
23.09861040,AA,PV,-3929830912.0000,-4088937728.0000,0.15287714,-0.2653,0.00366350
23.09861040,AX,PV,-3930649856.0000,-4087297024.0000,0.16072755,-6.0846,0.03688810
23.10138845,AA,AX,809469.8750,-1645682.3750,1.12126598,0.2127,0.01140494
23.10138845,AA,PV,-3930930176.0000,-4089541120.0000,0.16867759,-0.4042,0.00403518
23.10138845,AX,PV,-3931761152.0000,-4087907072.0000,0.16792351,-3.9822,0.03144127
23.10416651,AA,AX,809409.9375,-1645573.3750,1.12042882,-0.0114,0.02511033
23.10416651,AA,PV,-3932070144.0000,-4090168064.0000,0.15303885,0.1776,0.00385869
23.10416651,AX,PV,-3932724736.0000,-4088437248.0000,0.15178691,28.1922,0.06989467
23.10694456,AA,AX,809330.3125,-1645429.1250,1.11802165,0.2296,0.01497758
23.10694456,AA,PV,-3933186560.0000,-4090783488.0000,0.17348167,-0.7115,0.00496830
23.10694456,AX,PV,-3933996032.0000,-4089137920.0000,0.17613744,2.4109,0.03216660
23.11805534,AA,AX,809046.0000,-1644922.6250,1.11720547,1.1910,0.01706226
23.12083340,AA,AX,808974.6250,-1644797.3750,1.11608509,0.8887,0.03166521
23.12361145,AA,AX,808901.2500,-1644669.5000,1.11912979,0.5115,0.01168113
23.12638950,AA,AX,808828.2500,-1644542.8750,1.11845221,0.4176,0.01226035
23.12638950,AA,PV,-3940943616.0000,-4095095808.0000,0.16652207,-0.7356,0.00428508
23.12638950,AX,PV,-3941767168.0000,-4093459456.0000,0.17218751,1.5777,0.03120822
23.12916613,AA,PV,-3942043392.0000,-4095712512.0000,0.16651698,2.8602,0.00362075
23.12916613,AX,PV,-3942817280.0000,-4094048768.0000,0.16558467,1.5936,0.04618169
23.13194418,AA,AX,808675.0000,-1644279.6250,1.11907089,0.9997,0.01363383
23.13194418,AA,PV,-3943140864.0000,-4096329472.0000,0.16784251,0.2577,0.00362145
23.13194418,AX,PV,-3944046592.0000,-4094739712.0000,0.16861786,3.9285,0.04077373
23.18472290,AX,PV,-3964404480.0000,-4106441472.0000,0.18680706,-9.8677,0.02525172
23.18749952,AA,AX,807113.3125,-1641761.3750,1.12089038,-0.6225,0.00927578
23.18749952,AA,PV,-3964652800.0000,-4108703488.0000,0.15140796,0.2682,0.00291588
23.18749952,AX,PV,-3965453056.0000,-4107057664.0000,0.14663300,4.0220,0.03458462
